dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
3dbag_amsterdam_10-432-720.city.json,cityparquet,full-read,,1661,0.254341,0.003141,48167422,64614400,7,,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,count,,1661,0.001602,0.000058,223190,9453568,7,,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,bbox-query,0.000000,0,0.004075,0.000045,357225,9453568,7,bbox-1pct,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,bbox-query,0.000000,0,0.004046,0.000024,357225,9465856,7,bbox-5pct,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,bbox-query,0.030102,50,0.004056,0.000033,357225,9453568,7,bbox-25pct,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,attr-filter,0.500301,831,0.002165,0.000061,229734,9453568,7,object_type=BuildingPart,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,attr-stats,0.490066,814,0.001904,0.000021,223213,9453568,7,attr=b3_bag_bag_overlap,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,id-lookup,0.000602,1,0.052398,0.000558,12380823,24547328,7,id=NL.IMBAG.Pand.0363100012171858,,
3dbag_amsterdam_10-432-720.city.json,cityparquet,project,0.490066,814,0.001891,0.000032,223210,9453568,7,attr=b3_bag_bag_overlap,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,full-read,,1661,0.258257,0.004743,48201709,64024576,7,,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,count,,1661,0.001548,0.000084,223206,9453568,7,,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.003872,0.000100,356085,9457664,7,bbox-1pct,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.004075,0.000113,356085,9453568,7,bbox-5pct,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,bbox-query,0.030102,50,0.004029,0.000051,356085,9457664,7,bbox-25pct,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,attr-filter,0.500301,831,0.002106,0.000029,229750,9453568,7,object_type=BuildingPart,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,attr-stats,0.490066,814,0.001865,0.000027,223229,9453568,7,attr=b3_bag_bag_overlap,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,id-lookup,0.000602,1,0.043190,0.000405,8953212,22945792,7,id=NL.IMBAG.Pand.0363100012171858,,
3dbag_amsterdam_10-432-720.city.json,cityparquet-hilbert,project,0.490066,814,0.001902,0.000034,223226,9453568,7,attr=b3_bag_bag_overlap,,
