dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_valence_lod3_1.gml,cityparquet,full-read,,902,0.090420,0.003061,22486069,35659776,7,,,
craig_valence_lod3_1.gml,cityparquet,count,,902,0.000972,0.000008,109852,9445376,7,,,
craig_valence_lod3_1.gml,cityparquet,bbox-query,0.000000,0,0.002792,0.000162,285525,9449472,7,bbox-1pct,,
craig_valence_lod3_1.gml,cityparquet,bbox-query,0.000000,0,0.002704,0.000021,285525,9453568,7,bbox-5pct,,
craig_valence_lod3_1.gml,cityparquet,bbox-query,0.000000,0,0.002734,0.000048,285525,9453568,7,bbox-25pct,,
craig_valence_lod3_1.gml,cityparquet,attr-filter,0.686253,619,0.001425,0.000046,109929,9445376,7,object_type=BuildingInstallation,,
craig_valence_lod3_1.gml,cityparquet,attr-stats,0.313747,283,0.001204,0.000025,109865,9445376,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityparquet,id-lookup,0.001109,1,0.020687,0.000145,4780056,14573568,7,id=26037000ZS0208_000,,
craig_valence_lod3_1.gml,cityparquet,project,0.313747,283,0.001205,0.000047,109862,9445376,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityparquet-hilbert,full-read,,902,0.091806,0.000540,22403733,35655680,7,,,
craig_valence_lod3_1.gml,cityparquet-hilbert,count,,902,0.001041,0.000023,109868,9445376,7,,,
craig_valence_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002798,0.000086,262609,9453568,7,bbox-1pct,,
craig_valence_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002594,0.000042,262609,9453568,7,bbox-5pct,,
craig_valence_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002647,0.000048,262609,9457664,7,bbox-25pct,,
craig_valence_lod3_1.gml,cityparquet-hilbert,attr-filter,0.686253,619,0.001456,0.000086,109945,9445376,7,object_type=BuildingInstallation,,
craig_valence_lod3_1.gml,cityparquet-hilbert,attr-stats,0.313747,283,0.001191,0.000017,109881,9445376,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityparquet-hilbert,id-lookup,0.001109,1,0.021278,0.000573,4640461,14430208,7,id=26037000ZS0208_000,,
craig_valence_lod3_1.gml,cityparquet-hilbert,project,0.313747,283,0.001030,0.000040,109878,9445376,7,attr=OVERHANG,,
