dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
plateau_chuo_frn.gml,cityparquet,full-read,,4140,0.147015,0.001831,20680604,32497664,7,,,
plateau_chuo_frn.gml,cityparquet,count,,4140,0.000954,0.000007,103157,9437184,7,,,
plateau_chuo_frn.gml,cityparquet,bbox-query,0.001208,5,0.007331,0.000071,622813,9449472,7,bbox-1pct,,
plateau_chuo_frn.gml,cityparquet,bbox-query,0.001208,5,0.007174,0.000069,622813,9465856,7,bbox-5pct,,
plateau_chuo_frn.gml,cityparquet,bbox-query,0.025845,107,0.007161,0.000076,622813,9457664,7,bbox-25pct,,
plateau_chuo_frn.gml,cityparquet,attr-filter,1.000000,4140,0.001335,0.000056,103213,9437184,7,object_type=CityFurniture,,
plateau_chuo_frn.gml,cityparquet,id-lookup,0.000242,1,0.029080,0.000760,7620634,17940480,7,id=frn_f0f7ce8a-a6a4-4b56-a64d-727ca3335a70,,
plateau_chuo_frn.gml,cityparquet-hilbert,full-read,,4140,0.143391,0.001982,24970861,35237888,7,,,
plateau_chuo_frn.gml,cityparquet-hilbert,count,,4140,0.000903,0.000019,103173,9437184,7,,,
plateau_chuo_frn.gml,cityparquet-hilbert,bbox-query,0.001208,5,0.006565,0.000066,622756,9457664,7,bbox-1pct,,
plateau_chuo_frn.gml,cityparquet-hilbert,bbox-query,0.001208,5,0.006722,0.000065,622756,9465856,7,bbox-5pct,,
plateau_chuo_frn.gml,cityparquet-hilbert,bbox-query,0.025845,107,0.006649,0.000025,622756,9453568,7,bbox-25pct,,
plateau_chuo_frn.gml,cityparquet-hilbert,attr-filter,1.000000,4140,0.001476,0.000006,103229,9437184,7,object_type=CityFurniture,,
plateau_chuo_frn.gml,cityparquet-hilbert,id-lookup,0.000242,1,0.031623,0.000799,9241428,19480576,7,id=frn_f0f7ce8a-a6a4-4b56-a64d-727ca3335a70,,
