dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
plateau_chuo_veg.gml,cityparquet,full-read,,164,0.096763,0.001276,32426827,42782720,7,,,
plateau_chuo_veg.gml,cityparquet,count,,164,0.000904,0.000043,102404,8392704,7,,,
plateau_chuo_veg.gml,cityparquet,bbox-query,0.006098,1,0.002079,0.000151,113854,8400896,7,bbox-1pct,,
plateau_chuo_veg.gml,cityparquet,bbox-query,0.006098,1,0.001732,0.000053,113854,8404992,7,bbox-5pct,,
plateau_chuo_veg.gml,cityparquet,bbox-query,0.146341,24,0.001905,0.000032,113854,8400896,7,bbox-25pct,,
plateau_chuo_veg.gml,cityparquet,attr-filter,0.597561,98,0.001471,0.000032,102493,8404992,7,object_type=SolitaryVegetationObject,,
plateau_chuo_veg.gml,cityparquet,attr-stats,0.402439,66,0.001252,0.000047,102422,8400896,7,attr=averageHeight,,
plateau_chuo_veg.gml,cityparquet,id-lookup,0.006098,1,0.042999,0.000971,13908585,23764992,7,id=veg_92ba88de-896d-4fc3-98d0-37edc1f270e0,,
plateau_chuo_veg.gml,cityparquet,project,0.402439,66,0.001185,0.000053,102419,8396800,7,attr=averageHeight,,
plateau_chuo_veg.gml,cityparquet-hilbert,full-read,,164,0.093608,0.000915,33745458,42762240,7,,,
plateau_chuo_veg.gml,cityparquet-hilbert,count,,164,0.000925,0.000024,102420,8392704,7,,,
plateau_chuo_veg.gml,cityparquet-hilbert,bbox-query,0.006098,1,0.001737,0.000141,113885,8404992,7,bbox-1pct,,
plateau_chuo_veg.gml,cityparquet-hilbert,bbox-query,0.006098,1,0.002010,0.000043,113885,8400896,7,bbox-5pct,,
plateau_chuo_veg.gml,cityparquet-hilbert,bbox-query,0.146341,24,0.001649,0.000079,113885,8409088,7,bbox-25pct,,
plateau_chuo_veg.gml,cityparquet-hilbert,attr-filter,0.597561,98,0.001439,0.000092,102509,8404992,7,object_type=SolitaryVegetationObject,,
plateau_chuo_veg.gml,cityparquet-hilbert,attr-stats,0.402439,66,0.001040,0.000026,102438,8400896,7,attr=averageHeight,,
plateau_chuo_veg.gml,cityparquet-hilbert,id-lookup,0.006098,1,0.043776,0.000916,13870600,23666688,7,id=veg_92ba88de-896d-4fc3-98d0-37edc1f270e0,,
plateau_chuo_veg.gml,cityparquet-hilbert,project,0.402439,66,0.001231,0.000024,102435,8392704,7,attr=averageHeight,,
