dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
plateau_edogawa_htd.gml,citygml,full-read,,7021,7.758896,0.298503,278410636,291946496,7,,,
plateau_edogawa_htd.gml,citygml,count,,7021,7.641322,0.101479,278410632,292020224,7,,,
plateau_edogawa_htd.gml,citygml,bbox-query,0.000000,0,7.757352,0.059515,278410637,293056512,7,bbox-1pct,,
plateau_edogawa_htd.gml,citygml,bbox-query,0.001994,14,7.804038,0.082352,278410637,291946496,7,bbox-5pct,,
plateau_edogawa_htd.gml,citygml,bbox-query,0.096140,675,7.771278,0.087651,278410637,291954688,7,bbox-25pct,,
plateau_edogawa_htd.gml,citygml,attr-filter,1.000000,7021,7.821343,0.285957,278410667,291942400,7,object_type=WaterBody,,
plateau_edogawa_htd.gml,citygml,id-lookup,0.000142,1,8.102775,0.360046,278410676,291954688,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3,,
plateau_edogawa_htd.gml,cityjson,full-read,,7021,2.483134,0.099063,1082206382,1104330752,7,,,
plateau_edogawa_htd.gml,cityjson,count,,7021,2.057113,0.043218,1082206378,1104982016,7,,,
plateau_edogawa_htd.gml,cityjson,bbox-query,0.000000,0,2.272810,0.111316,1082206383,1104375808,7,bbox-1pct,,
plateau_edogawa_htd.gml,cityjson,bbox-query,0.001994,14,2.523336,0.087974,1082206383,1104359424,7,bbox-5pct,,
plateau_edogawa_htd.gml,cityjson,bbox-query,0.098704,693,2.322848,0.055240,1082206383,1104973824,7,bbox-25pct,,
plateau_edogawa_htd.gml,cityjson,attr-filter,1.000000,7021,2.037915,0.018451,1082206413,1104269312,7,object_type=WaterBody,,
plateau_edogawa_htd.gml,cityjson,id-lookup,0.000142,1,2.104532,0.025557,1082206422,1104334848,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3,,
plateau_edogawa_htd.gml,cityjsonseq,full-read,,7021,1.898927,0.031141,143130540,149475328,7,,,
plateau_edogawa_htd.gml,cityjsonseq,count,,7021,1.710635,0.057686,143130536,149454848,7,,,
plateau_edogawa_htd.gml,cityjsonseq,bbox-query,0.000000,0,1.772556,0.014928,143130589,148742144,7,bbox-1pct,,
plateau_edogawa_htd.gml,cityjsonseq,bbox-query,0.001994,14,1.732558,0.050585,143130589,149082112,7,bbox-5pct,,
plateau_edogawa_htd.gml,cityjsonseq,bbox-query,0.098704,693,1.747368,0.045856,143130589,149368832,7,bbox-25pct,,
plateau_edogawa_htd.gml,cityjsonseq,attr-filter,1.000000,7021,1.775190,0.047592,143130571,149565440,7,object_type=WaterBody,,
plateau_edogawa_htd.gml,cityjsonseq,id-lookup,0.000142,1,0.166672,0.002794,50340701,54276096,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3,,
plateau_edogawa_htd.gml,flatcitybuf,full-read,,7021,0.654672,0.007822,45557206,55906304,7,,,
plateau_edogawa_htd.gml,flatcitybuf,count,,7021,0.000066,0.000009,9243,9441280,7,,,
plateau_edogawa_htd.gml,flatcitybuf,bbox-query,0.000000,0,0.000111,0.000011,10032,9441280,7,bbox-1pct,,
plateau_edogawa_htd.gml,flatcitybuf,bbox-query,0.001994,14,0.000135,0.000002,10296,9441280,7,bbox-5pct,,
plateau_edogawa_htd.gml,flatcitybuf,bbox-query,0.098704,693,0.000344,0.000019,35568,9441280,7,bbox-25pct,,
plateau_edogawa_htd.gml,flatcitybuf,attr-filter,1.000000,7021,0.650372,0.006065,45557237,55771136,7,object_type=WaterBody;no-attr-index,,
plateau_edogawa_htd.gml,flatcitybuf,id-lookup,0.000142,1,0.309108,0.004031,27696422,34541568,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3;no-attr-index,,
plateau_edogawa_htd.gml,cityparquet-hilbert,full-read,,7021,0.303177,0.001546,26006349,45703168,7,,,
plateau_edogawa_htd.gml,cityparquet-hilbert,count,,7021,0.000858,0.000047,88009,9441280,7,,,
plateau_edogawa_htd.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.008266,0.000273,729872,9449472,7,bbox-1pct,,
plateau_edogawa_htd.gml,cityparquet-hilbert,bbox-query,0.001852,13,0.008129,0.000176,729872,9453568,7,bbox-5pct,,
plateau_edogawa_htd.gml,cityparquet-hilbert,bbox-query,0.062099,436,0.007022,0.000126,729872,9453568,7,bbox-25pct,,
plateau_edogawa_htd.gml,cityparquet-hilbert,attr-filter,1.000000,7021,0.001431,0.000031,88053,9441280,7,object_type=WaterBody,,
plateau_edogawa_htd.gml,cityparquet-hilbert,id-lookup,0.000142,1,0.035101,0.000202,13620471,24129536,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3,,
