dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
plateau_yokohama_squr.gml,citygml,full-read,,1,0.050552,0.000506,16637,8404992,7,,,
plateau_yokohama_squr.gml,citygml,count,,1,0.051204,0.000370,16633,8404992,7,,,
plateau_yokohama_squr.gml,citygml,bbox-query,0.000000,0,0.050830,0.000755,16638,8404992,7,bbox-1pct,,
plateau_yokohama_squr.gml,citygml,bbox-query,0.000000,0,0.051335,0.000207,16638,8404992,7,bbox-5pct,,
plateau_yokohama_squr.gml,citygml,bbox-query,0.000000,0,0.051828,0.000261,16638,8404992,7,bbox-25pct,,
plateau_yokohama_squr.gml,citygml,attr-filter,0.000000,0,0.051323,0.000568,16662,8404992,7,object_type=Square;attr-filter-count-mismatch,,
plateau_yokohama_squr.gml,citygml,id-lookup,1.000000,1,0.051433,0.000772,16678,8404992,7,id=squr_99361a7e-95cb-4257-8d9a-317061f8e498,,
plateau_yokohama_squr.gml,cityjson,full-read,,1,0.014417,0.000434,5888815,10493952,7,,,
plateau_yokohama_squr.gml,cityjson,count,,1,0.013266,0.000936,5888811,10485760,7,,,
plateau_yokohama_squr.gml,cityjson,bbox-query,1.000000,1,0.014397,0.000232,5888816,10498048,7,bbox-1pct,,
plateau_yokohama_squr.gml,cityjson,bbox-query,1.000000,1,0.012107,0.000280,5888816,11546624,7,bbox-5pct,,
plateau_yokohama_squr.gml,cityjson,bbox-query,1.000000,1,0.014304,0.000728,5888816,10493952,7,bbox-25pct,,
plateau_yokohama_squr.gml,cityjson,attr-filter,0.000000,0,0.013881,0.000329,5888840,10498048,7,object_type=Square;attr-filter-count-mismatch,,
plateau_yokohama_squr.gml,cityjson,id-lookup,1.000000,1,0.013847,0.000178,5888856,10493952,7,id=squr_99361a7e-95cb-4257-8d9a-317061f8e498,,
plateau_yokohama_squr.gml,cityjsonseq,full-read,,1,0.015246,0.000154,5935193,11546624,7,,,
plateau_yokohama_squr.gml,cityjsonseq,count,,1,0.015283,0.000426,5935189,11542528,7,,,
plateau_yokohama_squr.gml,cityjsonseq,bbox-query,1.000000,1,0.013483,0.000722,5935242,11546624,7,bbox-1pct,,
plateau_yokohama_squr.gml,cityjsonseq,bbox-query,1.000000,1,0.014889,0.001079,5935242,11558912,7,bbox-5pct,,
plateau_yokohama_squr.gml,cityjsonseq,bbox-query,1.000000,1,0.013636,0.000433,5935242,11546624,7,bbox-25pct,,
plateau_yokohama_squr.gml,cityjsonseq,attr-filter,0.000000,0,0.014866,0.000128,5935218,11546624,7,object_type=Square;attr-filter-count-mismatch,,
plateau_yokohama_squr.gml,cityjsonseq,id-lookup,1.000000,1,0.014908,0.000197,5935234,11546624,7,id=squr_99361a7e-95cb-4257-8d9a-317061f8e498,,
plateau_yokohama_squr.gml,flatcitybuf,full-read,,1,0.005192,0.000167,1977063,8404992,7,,,
plateau_yokohama_squr.gml,flatcitybuf,count,,1,0.000067,0.000011,9269,8404992,7,,,
plateau_yokohama_squr.gml,flatcitybuf,bbox-query,1.000000,1,0.000093,0.000008,9474,8404992,7,bbox-1pct,,
plateau_yokohama_squr.gml,flatcitybuf,bbox-query,1.000000,1,0.000096,0.000011,9474,8404992,7,bbox-5pct,,
plateau_yokohama_squr.gml,flatcitybuf,bbox-query,1.000000,1,0.000092,0.000006,9474,8404992,7,bbox-25pct,,
plateau_yokohama_squr.gml,flatcitybuf,attr-filter,0.000000,0,0.005206,0.000083,1977088,8404992,7,object_type=Square;no-attr-index;attr-filter-count-mismatch,,
plateau_yokohama_squr.gml,flatcitybuf,id-lookup,1.000000,1,0.005239,0.000102,1977145,8404992,7,id=squr_99361a7e-95cb-4257-8d9a-317061f8e498;no-attr-index,,
plateau_yokohama_squr.gml,cityparquet-hilbert,full-read,,1,0.012007,0.000038,2544549,12599296,7,,,
plateau_yokohama_squr.gml,cityparquet-hilbert,count,,1,0.000933,0.000031,86370,8404992,7,,,
plateau_yokohama_squr.gml,cityparquet-hilbert,bbox-query,1.000000,1,0.001565,0.000035,86375,8404992,7,bbox-1pct,,
plateau_yokohama_squr.gml,cityparquet-hilbert,bbox-query,1.000000,1,0.001555,0.000042,86375,8404992,7,bbox-5pct,,
plateau_yokohama_squr.gml,cityparquet-hilbert,bbox-query,1.000000,1,0.001460,0.000040,86375,8409088,7,bbox-25pct,,
plateau_yokohama_squr.gml,cityparquet-hilbert,attr-filter,1.000000,1,0.001204,0.000026,86405,8404992,7,object_type=Square;attr-filter-count-mismatch,,
plateau_yokohama_squr.gml,cityparquet-hilbert,id-lookup,1.000000,1,0.012063,0.000044,2544590,12599296,7,id=squr_99361a7e-95cb-4257-8d9a-317061f8e498,,
