dataset,format,bytes,mb,ratio_vs_cityjsonseq,baseline_format,ratio_vs_baseline
3dbag_amsterdam_10-432-718,cityjson,4273941,4.0759477615356445,0.9154752019272142,cityjsonseq,0.9154752019272142
3dbag_amsterdam_10-432-718,cityjsonseq,3912687,3.731429100036621,1.0,cityjsonseq,1.0
3dbag_amsterdam_10-432-718,cityjsonseq-gz,915995,0.873560905456543,4.271515674212195,cityjsonseq,4.271515674212195
3dbag_amsterdam_10-432-718,flatcitybuf,3781198,3.6060314178466797,1.0347744286334648,cityjsonseq,1.0347744286334648
3dbag_amsterdam_10-432-718,cityparquet,1430547,1.3642759323120117,2.735098532239766,cityjsonseq,2.735098532239766
3dbag_amsterdam_10-432-718,cityparquet-hilbert,1415896,1.3503036499023438,2.763399995479894,cityjsonseq,2.763399995479894
3dbag_amsterdam_10-432-720,cityjson,8027913,7.656014442443848,0.9100243114244013,cityjsonseq,0.9100243114244013
3dbag_amsterdam_10-432-720,cityjsonseq,7305596,6.967159271240234,1.0,cityjsonseq,1.0
3dbag_amsterdam_10-432-720,cityjsonseq-gz,1638607,1.562697410583496,4.458418644617043,cityjsonseq,4.458418644617043
3dbag_amsterdam_10-432-720,flatcitybuf,7250741,6.9148454666137695,1.0075654336570565,cityjsonseq,1.0075654336570565
3dbag_amsterdam_10-432-720,cityparquet,2535432,2.4179763793945312,2.8814008815854657,cityjsonseq,2.8814008815854657
3dbag_amsterdam_10-432-720,cityparquet-hilbert,2495142,2.3795528411865234,2.9279279495916466,cityjsonseq,2.9279279495916466
craig_clermont_lod2_textured_1,citygml,320756374,305.89711570739746,0.15050089074769252,cityjsonseq,0.15050089074769252
craig_clermont_lod2_textured_1,cityjson,50939516,48.579708099365234,0.9476752782653058,cityjsonseq,0.9476752782653058
craig_clermont_lod2_textured_1,cityjsonseq,48274120,46.03778839111328,1.0,cityjsonseq,1.0
craig_clermont_lod2_textured_1,cityjsonseq-gz,12419170,11.843843460083008,3.8870649165765507,cityjsonseq,3.8870649165765507
craig_clermont_lod2_textured_1,flatcitybuf,44831606,42.754751205444336,1.0767876573504862,cityjsonseq,1.0767876573504862
craig_clermont_lod2_textured_1,cityparquet,15446029,14.730481147766113,3.125341794968791,cityjsonseq,3.125341794968791
craig_clermont_lod2_textured_1,cityparquet-hilbert,14895495,14.205451011657715,3.2408536943552395,cityjsonseq,3.2408536943552395
craig_clermont_lod3_1,citygml,161907437,154.406964302063,0.17699018359484006,cityjsonseq,0.17699018359484006
craig_clermont_lod3_1,cityjson,30258155,28.856425285339355,0.9470513651608963,cityjsonseq,0.9470513651608963
craig_clermont_lod3_1,cityjsonseq,28656027,27.328516960144043,1.0,cityjsonseq,1.0
craig_clermont_lod3_1,cityjsonseq-gz,7132060,6.801662445068359,4.017917263735863,cityjsonseq,4.017917263735863
craig_clermont_lod3_1,flatcitybuf,25557556,24.373584747314453,1.1212350273242089,cityjsonseq,1.1212350273242089
