dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
zurich_building_lod2.city.json,cityjson,full-read,,198699,8.510568,0.597114,3688176983,3990999040,7,,,
zurich_building_lod2.city.json,cityjson,count,,198699,6.900078,0.091245,3688176979,3990220800,7,,,
zurich_building_lod2.city.json,cityjson,bbox-query,0.000000,0,7.989924,0.147315,3688176984,3990859776,7,bbox-1pct,,
zurich_building_lod2.city.json,cityjson,bbox-query,0.000000,0,7.926439,0.098231,3688176984,3991072768,7,bbox-5pct,,
zurich_building_lod2.city.json,cityjson,bbox-query,0.000050,10,8.762236,0.662868,3688176984,3990089728,7,bbox-25pct,,
zurich_building_lod2.city.json,cityjson,attr-filter,0.734100,145865,7.214119,0.071661,3688177020,3991044096,7,object_type=BuildingPart,,
zurich_building_lod2.city.json,cityjson,attr-stats,0.265900,52834,7.738282,0.340188,3688176998,3991953408,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,cityjson,id-lookup,0.000005,1,7.187645,0.133460,3688177024,3990892544,7,id=UUID_5d8f809e-9c6f-41f8-8ec8-f2b42542ab4f,,
zurich_building_lod2.city.json,cityjson,project,0.265900,52834,7.242041,0.108510,3688176995,3990077440,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,cityjsonseq,full-read,,52834,4.601167,0.115736,402662198,273539072,7,,,
zurich_building_lod2.city.json,cityjsonseq,count,,52834,4.557290,0.039385,402662194,273440768,7,,,
zurich_building_lod2.city.json,cityjsonseq,bbox-query,0.000000,0,4.507367,0.031455,402662199,273444864,7,bbox-1pct,,
zurich_building_lod2.city.json,cityjsonseq,bbox-query,0.000000,0,4.583543,0.077836,402662199,273440768,7,bbox-5pct,,
zurich_building_lod2.city.json,cityjsonseq,bbox-query,0.000151,8,4.525824,0.015306,402662199,273436672,7,bbox-25pct,,
zurich_building_lod2.city.json,cityjsonseq,attr-filter,0.734100,145865,4.541538,0.022895,402662235,273428480,7,object_type=BuildingPart,,
zurich_building_lod2.city.json,cityjsonseq,attr-stats,0.265900,52834,4.521437,0.022259,402662213,273436672,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,cityjsonseq,id-lookup,0.000005,1,1.497550,0.009943,402662239,273440768,7,id=UUID_5d8f809e-9c6f-41f8-8ec8-f2b42542ab4f,,
zurich_building_lod2.city.json,cityjsonseq,project,0.265900,52834,4.572699,0.136022,402662210,273436672,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,flatcitybuf,full-read,,52834,2.217262,0.043844,1310572,11546624,7,,,
zurich_building_lod2.city.json,flatcitybuf,count,,52834,0.000077,0.000008,13404,11546624,7,,,
zurich_building_lod2.city.json,flatcitybuf,bbox-query,0.000000,0,0.000111,0.000013,14073,11546624,7,bbox-1pct,,
zurich_building_lod2.city.json,flatcitybuf,bbox-query,0.000000,0,0.000108,0.000010,14073,11546624,7,bbox-5pct,,
zurich_building_lod2.city.json,flatcitybuf,bbox-query,0.000151,8,0.000128,0.000002,14385,11546624,7,bbox-25pct,,
zurich_building_lod2.city.json,flatcitybuf,attr-filter,0.734100,145865,2.179688,0.042979,1310609,11546624,7,object_type=BuildingPart;no-attr-index,,
zurich_building_lod2.city.json,flatcitybuf,attr-stats,0.265900,52834,2.219822,0.036952,1310587,11546624,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,flatcitybuf,id-lookup,0.000005,1,1.284782,0.002496,1249690,11546624,7,id=UUID_5d8f809e-9c6f-41f8-8ec8-f2b42542ab4f;no-attr-index,,
zurich_building_lod2.city.json,flatcitybuf,project,0.265900,52834,2.231161,0.019666,1310584,11546624,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,cityparquet-hilbert,full-read,,198699,4.878090,0.019875,35140786,56733696,7,,,
zurich_building_lod2.city.json,cityparquet-hilbert,count,,198699,0.001162,0.000048,152933,11546624,7,,,
zurich_building_lod2.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.061716,0.000866,3936159,13643776,7,bbox-1pct,,
zurich_building_lod2.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.062375,0.001397,3936159,13647872,7,bbox-5pct,,
zurich_building_lod2.city.json,cityparquet-hilbert,bbox-query,0.000091,18,0.062206,0.001146,3937665,13656064,7,bbox-25pct,,
zurich_building_lod2.city.json,cityparquet-hilbert,attr-filter,0.734100,145865,0.018077,0.000193,3340865,11550720,7,object_type=BuildingPart,,
zurich_building_lod2.city.json,cityparquet-hilbert,attr-stats,0.265900,52834,0.004434,0.000033,152952,11546624,7,attr=GebaeudeStatus,,
zurich_building_lod2.city.json,cityparquet-hilbert,id-lookup,0.000005,1,0.119163,0.000994,13544079,26619904,7,id=UUID_5d8f809e-9c6f-41f8-8ec8-f2b42542ab4f,,
zurich_building_lod2.city.json,cityparquet-hilbert,project,0.265900,52834,0.002410,0.000077,152949,11546624,7,attr=GebaeudeStatus,,
