dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_vichy_unesco_lod3.gml,cityparquet,full-read,,6018,0.742981,0.015129,58095134,79814656,7,,,
craig_vichy_unesco_lod3.gml,cityparquet,count,,6018,0.001111,0.000031,114178,9441280,7,,,
craig_vichy_unesco_lod3.gml,cityparquet,bbox-query,0.000000,0,0.009241,0.000059,814055,9453568,7,bbox-1pct,,
craig_vichy_unesco_lod3.gml,cityparquet,bbox-query,0.000000,0,0.007886,0.000280,814055,9453568,7,bbox-5pct,,
craig_vichy_unesco_lod3.gml,cityparquet,bbox-query,0.000831,5,0.009153,0.000677,814055,9453568,7,bbox-25pct,,
craig_vichy_unesco_lod3.gml,cityparquet,attr-filter,0.843137,5074,0.001726,0.000033,145906,9441280,7,object_type=BuildingInstallation,,
craig_vichy_unesco_lod3.gml,cityparquet,attr-stats,0.032403,195,0.001233,0.000031,114197,9441280,7,attr=measuredHeight,,
craig_vichy_unesco_lod3.gml,cityparquet,id-lookup,0.000166,1,0.046670,0.001491,12521635,23527424,7,id=ID_bdb5f639-0fe4-4bc1-ae96-ba7f7c32cec5,,
craig_vichy_unesco_lod3.gml,cityparquet,project,0.032403,195,0.001320,0.000061,114194,9441280,7,attr=measuredHeight,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,full-read,,6018,0.750286,0.006606,59736266,85704704,7,,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,count,,6018,0.001010,0.000026,114194,9441280,7,,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.008822,0.000030,810230,9453568,7,bbox-1pct,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.008929,0.000265,810230,9453568,7,bbox-5pct,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,bbox-query,0.000831,5,0.009031,0.000064,810230,9457664,7,bbox-25pct,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,attr-filter,0.843137,5074,0.001847,0.000061,145922,9441280,7,object_type=BuildingInstallation,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,attr-stats,0.032403,195,0.001362,0.000007,114213,9441280,7,attr=measuredHeight,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,id-lookup,0.000166,1,0.064632,0.000797,17002275,28610560,7,id=ID_bdb5f639-0fe4-4bc1-ae96-ba7f7c32cec5,,
craig_vichy_unesco_lod3.gml,cityparquet-hilbert,project,0.032403,195,0.001367,0.000069,114210,9441280,7,attr=measuredHeight,,
