dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
estonia_anija_lod2.gml,cityparquet,full-read,,7264,0.250343,0.002362,12888660,29401088,7,,,
estonia_anija_lod2.gml,cityparquet,count,,7264,0.000855,0.000061,93748,9441280,7,,,
estonia_anija_lod2.gml,cityparquet,bbox-query,0.000000,0,0.009279,0.000241,775362,9453568,7,bbox-1pct,,
estonia_anija_lod2.gml,cityparquet,bbox-query,0.000000,0,0.008542,0.000601,775362,9453568,7,bbox-5pct,,
estonia_anija_lod2.gml,cityparquet,bbox-query,0.000000,0,0.009431,0.000240,775362,9453568,7,bbox-25pct,,
estonia_anija_lod2.gml,cityparquet,attr-filter,1.000000,7264,0.001439,0.000029,93789,9441280,7,object_type=Building,,
estonia_anija_lod2.gml,cityparquet,attr-stats,1.000000,7264,0.001345,0.000002,110503,9441280,7,attr=measuredHeight,,
estonia_anija_lod2.gml,cityparquet,id-lookup,0.000138,1,0.023272,0.000301,6029510,15745024,7,id=etak_530835_hooned,,
estonia_anija_lod2.gml,cityparquet,project,1.000000,7264,0.001432,0.000021,110500,9441280,7,attr=measuredHeight,,
estonia_anija_lod2.gml,cityparquet-hilbert,full-read,,7264,0.242117,0.005985,14390819,31002624,7,,,
estonia_anija_lod2.gml,cityparquet-hilbert,count,,7264,0.000934,0.000018,93764,9441280,7,,,
estonia_anija_lod2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.007762,0.000192,771031,9449472,7,bbox-1pct,,
estonia_anija_lod2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.007914,0.000242,771031,9449472,7,bbox-5pct,,
estonia_anija_lod2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.008051,0.000139,771031,9453568,7,bbox-25pct,,
estonia_anija_lod2.gml,cityparquet-hilbert,attr-filter,1.000000,7264,0.001489,0.000106,93805,9441280,7,object_type=Building,,
estonia_anija_lod2.gml,cityparquet-hilbert,attr-stats,1.000000,7264,0.001334,0.000053,110519,9441280,7,attr=measuredHeight,,
estonia_anija_lod2.gml,cityparquet-hilbert,id-lookup,0.000138,1,0.025388,0.000981,7083721,16801792,7,id=etak_530835_hooned,,
estonia_anija_lod2.gml,cityparquet-hilbert,project,1.000000,7264,0.001348,0.000120,110516,9441280,7,attr=measuredHeight,,
