dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
3DBAG.city.jsonl,cityparquet,full-read,,2221,0.049183,0.000398,37483593,65142784,7,
3DBAG.city.jsonl,cityparquet,count,,2221,0.000243,0.000006,127841,8175616,7,
3DBAG.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000917,0.000007,350495,9895936,7,bbox-1pct
3DBAG.city.jsonl,cityparquet,bbox-query,0.000900,2,0.000927,0.000020,350495,9928704,7,bbox-5pct
3DBAG.city.jsonl,cityparquet,bbox-query,0.002701,6,0.001233,0.000242,350495,9928704,7,bbox-25pct
3DBAG.city.jsonl,cityparquet,attr-filter,0.500225,1111,0.000853,0.000062,201184,9469952,7,object_type=BuildingPart
3DBAG.city.jsonl,cityparquet,attr-stats,0.499775,1110,0.000657,0.000043,127858,8847360,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,cityparquet,id-lookup,0.000450,1,0.005750,0.000055,9749924,27066368,7,id=NL.IMBAG.Pand.0503100000013175
3DBAG.city.jsonl,cityparquet,project,0.499775,1110,0.000444,0.000115,127855,8863744,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,cityparquet-hilbert,full-read,,2221,0.046646,0.000629,35250750,61980672,7,
3DBAG.city.jsonl,cityparquet-hilbert,count,,2221,0.000272,0.000019,127873,8159232,7,
3DBAG.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000962,0.000029,349225,9879552,7,bbox-1pct
3DBAG.city.jsonl,cityparquet-hilbert,bbox-query,0.000900,2,0.000981,0.000081,349225,9846784,7,bbox-5pct
3DBAG.city.jsonl,cityparquet-hilbert,bbox-query,0.002701,6,0.001803,0.000399,349225,9912320,7,bbox-25pct
3DBAG.city.jsonl,cityparquet-hilbert,attr-filter,0.500225,1111,0.000870,0.000012,201216,9469952,7,object_type=BuildingPart
3DBAG.city.jsonl,cityparquet-hilbert,attr-stats,0.499775,1110,0.000570,0.000163,127890,8830976,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,cityparquet-hilbert,id-lookup,0.000450,1,0.005476,0.000068,7961264,24543232,7,id=NL.IMBAG.Pand.0503100000013175
3DBAG.city.jsonl,cityparquet-hilbert,project,0.499775,1110,0.000349,0.000024,127887,8863744,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,flatcitybuf,full-read,,1110,0.021812,0.000372,1038212,9371648,7,
3DBAG.city.jsonl,flatcitybuf,count,,1110,0.000039,0.000001,11187,6995968,7,
3DBAG.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000039,0.000003,11520,7077888,7,bbox-1pct
3DBAG.city.jsonl,flatcitybuf,bbox-query,0.000901,1,0.000056,0.000012,11624,7127040,7,bbox-5pct
3DBAG.city.jsonl,flatcitybuf,bbox-query,0.002703,3,0.000122,0.000007,11960,7094272,7,bbox-25pct
3DBAG.city.jsonl,flatcitybuf,attr-filter,0.500225,1111,0.021729,0.000124,1038313,9338880,7,object_type=BuildingPart
3DBAG.city.jsonl,flatcitybuf,attr-stats,0.499775,1110,0.021371,0.000088,1038225,9388032,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,flatcitybuf,id-lookup,0.000450,1,0.016810,0.000226,1038272,9306112,7,id=NL.IMBAG.Pand.0503100000013175
3DBAG.city.jsonl,flatcitybuf,project,0.499775,1110,0.021250,0.000270,1038222,9289728,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,cityjsonseq,full-read,,1110,0.028088,0.000178,3629569,13074432,7,
3DBAG.city.jsonl,cityjsonseq,count,,1110,0.026629,0.000576,3629565,12943360,7,
3DBAG.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.026610,0.000099,3629618,12550144,7,bbox-1pct
3DBAG.city.jsonl,cityjsonseq,bbox-query,0.000901,1,0.027046,0.000652,3629618,13647872,7,bbox-5pct
3DBAG.city.jsonl,cityjsonseq,bbox-query,0.002703,3,0.026613,0.000288,3629618,13680640,7,bbox-25pct
3DBAG.city.jsonl,cityjsonseq,attr-filter,0.500225,1111,0.027056,0.000156,3629606,13664256,7,object_type=BuildingPart
3DBAG.city.jsonl,cityjsonseq,attr-stats,0.499775,1110,0.026915,0.000202,3629582,13598720,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,cityjsonseq,id-lookup,0.000450,1,0.000163,0.000012,49821,7438336,7,id=NL.IMBAG.Pand.0503100000013175
3DBAG.city.jsonl,cityjsonseq,project,0.499775,1110,0.027383,0.000253,3629579,12992512,7,attr=b3_h_dak_50p
3DBAG.city.jsonl,cityjsonseq-gz,full-read,,1110,0.033930,0.000323,3707163,13156352,7,
3DBAG.city.jsonl,cityjsonseq-gz,count,,1110,0.033976,0.000540,3707159,13746176,7,
3DBAG.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.033997,0.000388,3707212,13058048,7,bbox-1pct
3DBAG.city.jsonl,cityjsonseq-gz,bbox-query,0.000901,1,0.033883,0.000326,3707212,13811712,7,bbox-5pct
3DBAG.city.jsonl,cityjsonseq-gz,bbox-query,0.002703,3,0.033853,0.000516,3707212,13828096,7,bbox-25pct
