dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
9-284-556.city.json,cityjsonseq,full-read,,1211,0.084240,0.000359,134316894,164528128,5,
9-284-556.city.json,cityjsonseq,count,,1211,0.083587,0.001292,134316890,167264256,5,
9-284-556.city.json,cityjsonseq,bbox-query,0.000000,0,0.083899,0.000080,134316895,167018496,5,bbox-1pct
9-284-556.city.json,cityjsonseq,bbox-query,0.000826,1,0.083460,0.000723,134316895,166985728,5,bbox-5pct
9-284-556.city.json,cityjsonseq,bbox-query,0.002477,3,0.084245,0.000451,134316895,166248448,5,bbox-25pct
9-284-556.city.json,cityjsonseq,attr-filter,0.500206,1212,0.084192,0.000573,134316931,164659200,5,object_type=BuildingPart
9-284-556.city.json,cityjsonseq,attr-stats,0.412712,1000,0.086459,0.002495,134316913,165789696,5,attr=b3_bag_bag_overlap
9-284-556.city.json,cityjsonseq,id-lookup,0.000413,1,0.052044,0.000620,134316924,161775616,5,id=NL.IMBAG.Pand.0503100000000010
9-284-556.city.json,cityjsonseq,project,0.412712,1000,0.086509,0.000787,134316910,167133184,5,attr=b3_bag_bag_overlap
9-284-556.city.json,cityjsonseq-gz,full-read,,1211,0.098028,0.002351,134316906,164937728,5,
9-284-556.city.json,cityjsonseq-gz,count,,1211,0.095740,0.000750,134316902,164954112,5,
9-284-556.city.json,cityjsonseq-gz,bbox-query,0.000000,0,0.095618,0.000343,134316907,164478976,5,bbox-1pct
9-284-556.city.json,cityjsonseq-gz,bbox-query,0.000826,1,0.095195,0.000544,134316907,164937728,5,bbox-5pct
9-284-556.city.json,cityjsonseq-gz,bbox-query,0.002477,3,0.093426,0.001122,134316907,167100416,5,bbox-25pct
9-284-556.city.json,cityjsonseq-gz,attr-filter,0.500206,1212,0.095450,0.001099,134316943,164478976,5,object_type=BuildingPart
9-284-556.city.json,cityjsonseq-gz,attr-stats,0.412712,1000,0.096069,0.001686,134316925,164823040,5,attr=b3_bag_bag_overlap
9-284-556.city.json,cityjsonseq-gz,id-lookup,0.000413,1,0.060161,0.000717,134316936,161546240,5,id=NL.IMBAG.Pand.0503100000000010
9-284-556.city.json,cityjsonseq-gz,project,0.412712,1000,0.097750,0.001699,134316922,167362560,5,attr=b3_bag_bag_overlap
9-284-556.city.json,cityparquet,full-read,,2423,0.065882,0.000062,46866775,70844416,5,
9-284-556.city.json,cityparquet,count,,2423,0.000281,0.000012,165318,8257536,5,
9-284-556.city.json,cityparquet,bbox-query,0.000000,0,0.001039,0.000009,375654,10010624,5,bbox-1pct
