dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
Ingolstadt.city.jsonl,cityjsonseq,full-read,,55,0.017942,0.000315,8229969,19759104,5,
Ingolstadt.city.jsonl,cityjsonseq,count,,55,0.016780,0.000462,8229965,19660800,5,
Ingolstadt.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.016841,0.000262,8230018,19759104,5,bbox-1pct
Ingolstadt.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.016865,0.000088,8230018,19726336,5,bbox-5pct
Ingolstadt.city.jsonl,cityjsonseq,bbox-query,0.018182,1,0.016881,0.000147,8230018,19742720,5,bbox-25pct
Ingolstadt.city.jsonl,cityjsonseq,attr-filter,0.852243,323,0.016825,0.000526,8230022,19644416,5,object_type=BuildingInstallation
Ingolstadt.city.jsonl,cityjsonseq,attr-stats,0.530343,201,0.016195,0.000203,8229989,19693568,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityjsonseq,id-lookup,0.002639,1,0.000259,0.000013,423807,7929856,5,id=4018156
Ingolstadt.city.jsonl,cityjsonseq,project,0.530343,201,0.016665,0.000290,8229986,19660800,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityjsonseq-gz,full-read,,55,0.022268,0.000130,8517941,19808256,5,
Ingolstadt.city.jsonl,cityjsonseq-gz,count,,55,0.021702,0.000089,8517937,19824640,5,
Ingolstadt.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.021989,0.000071,8517990,19873792,5,bbox-1pct
Ingolstadt.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.021612,0.000090,8517990,19890176,5,bbox-5pct
Ingolstadt.city.jsonl,cityjsonseq-gz,bbox-query,0.018182,1,0.021799,0.000204,8517990,19873792,5,bbox-25pct
Ingolstadt.city.jsonl,cityjsonseq-gz,attr-filter,0.852243,323,0.021893,0.000178,8517994,19857408,5,object_type=BuildingInstallation
Ingolstadt.city.jsonl,cityjsonseq-gz,attr-stats,0.530343,201,0.025747,0.003916,8517961,19972096,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityjsonseq-gz,id-lookup,0.002639,1,0.000378,0.000010,502179,8093696,5,id=4018156
Ingolstadt.city.jsonl,cityjsonseq-gz,project,0.530343,201,0.021469,0.000091,8517958,19824640,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityparquet,full-read,,379,0.020748,0.000195,34534751,48906240,5,
Ingolstadt.city.jsonl,cityparquet,count,,379,0.000258,0.000004,100726,8192000,5,
Ingolstadt.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000521,0.000002,150752,9551872,5,bbox-1pct
Ingolstadt.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000510,0.000027,150752,9551872,5,bbox-5pct
Ingolstadt.city.jsonl,cityparquet,bbox-query,0.002639,1,0.000470,0.000005,150752,9551872,5,bbox-25pct
Ingolstadt.city.jsonl,cityparquet,attr-filter,0.852243,323,0.000360,0.000006,100803,9404416,5,object_type=BuildingInstallation
Ingolstadt.city.jsonl,cityparquet,attr-stats,0.530343,201,0.000286,0.000019,100750,8830976,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityparquet,id-lookup,0.002639,1,0.005502,0.000101,15189422,29425664,5,id=4018156
Ingolstadt.city.jsonl,cityparquet,project,0.530343,201,0.000296,0.000010,100747,8814592,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityparquet-hilbert,full-read,,379,0.021202,0.000049,34329377,48365568,5,
Ingolstadt.city.jsonl,cityparquet-hilbert,count,,379,0.000232,0.000003,100758,8208384,5,
Ingolstadt.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000540,0.000018,154358,9584640,5,bbox-1pct
Ingolstadt.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000592,0.000034,154358,9601024,5,bbox-5pct
Ingolstadt.city.jsonl,cityparquet-hilbert,bbox-query,0.002639,1,0.000486,0.000012,154358,9568256,5,bbox-25pct
Ingolstadt.city.jsonl,cityparquet-hilbert,attr-filter,0.852243,323,0.000353,0.000030,100835,9469952,5,object_type=BuildingInstallation
Ingolstadt.city.jsonl,cityparquet-hilbert,attr-stats,0.530343,201,0.000326,0.000019,100782,8863744,5,attr=materialUncertainty
Ingolstadt.city.jsonl,cityparquet-hilbert,id-lookup,0.002639,1,0.006239,0.000069,15160372,29409280,5,id=4018156
Ingolstadt.city.jsonl,cityparquet-hilbert,project,0.530343,201,0.000350,0.000045,100779,8863744,5,attr=materialUncertainty
Ingolstadt.city.jsonl,flatcitybuf,full-read,,55,0.008682,0.000095,2790602,11747328,5,
Ingolstadt.city.jsonl,flatcitybuf,count,,55,0.000051,0.000003,11608,7028736,5,
Ingolstadt.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000052,0.000002,11885,7094272,5,bbox-1pct
Ingolstadt.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000062,0.000003,11885,7094272,5,bbox-5pct
Ingolstadt.city.jsonl,flatcitybuf,bbox-query,0.018182,1,0.000054,0.000002,12069,7094272,5,bbox-25pct
Ingolstadt.city.jsonl,flatcitybuf,attr-filter,0.852243,323,0.008703,0.000093,2790719,11878400,5,object_type=BuildingInstallation
Ingolstadt.city.jsonl,flatcitybuf,attr-stats,0.530343,201,0.008761,0.000133,2790622,11550720,5,attr=materialUncertainty
Ingolstadt.city.jsonl,flatcitybuf,id-lookup,0.002639,1,0.002743,0.000028,1598474,9650176,5,id=4018156
Ingolstadt.city.jsonl,flatcitybuf,project,0.530343,201,0.008722,0.000142,2790619,12107776,5,attr=materialUncertainty
Ingolstadt,duckdb-parquet,count,,379,0.067471,0.001254,,20103168,5,
Ingolstadt,duckdb-parquet,full-read,,379,0.074936,0.003197,,37978112,5,
Ingolstadt,duckdb-parquet,bbox-query,0.000000,0,0.063453,0.003365,,21315584,5,bbox-1pct
Ingolstadt,duckdb-parquet,bbox-query,0.000000,0,0.067802,0.004531,,21282816,5,bbox-5pct
Ingolstadt,duckdb-parquet,bbox-query,0.002639,1,0.060305,0.001526,,21413888,5,bbox-25pct
Ingolstadt,duckdb-parquet,attr-filter,0.852243,323,0.067770,0.002502,,20955136,5,attr=object_type=BuildingInstallation
Ingolstadt,duckdb-parquet,attr-stats,0.530343,201,0.064812,0.005109,,21069824,5,attr=materialUncertainty min=0.3 max=1.0 sum=88.49999999999982
Ingolstadt,duckdb-parquet,project,1.000000,379,0.061442,0.002163,,20201472,5,
