dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
Montreal.city.jsonl,cityparquet,full-read,,294,0.021707,0.002167,41598303,59195392,7,
Montreal.city.jsonl,cityparquet,count,,294,0.000223,0.000015,38579,8060928,7,
Montreal.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000437,0.000027,97814,9453568,7,bbox-1pct
Montreal.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000467,0.000056,97814,9420800,7,bbox-5pct
Montreal.city.jsonl,cityparquet,bbox-query,0.115646,34,0.000877,0.000040,97814,9420800,7,bbox-25pct
Montreal.city.jsonl,cityparquet,attr-filter,1.000000,294,0.000652,0.000086,43398,8962048,7,object_type=Building
Montreal.city.jsonl,cityparquet,id-lookup,0.003401,1,0.007655,0.000401,16659102,30965760,7,id=B-201391184352-CE3F5D7B3BD0
Montreal.city.jsonl,cityparquet-hilbert,full-read,,294,0.017930,0.000328,41893813,57884672,7,
Montreal.city.jsonl,cityparquet-hilbert,count,,294,0.000186,0.000010,38611,8028160,7,
Montreal.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000432,0.000023,97500,9420800,7,bbox-1pct
Montreal.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000832,0.000057,97500,9437184,7,bbox-5pct
Montreal.city.jsonl,cityparquet-hilbert,bbox-query,0.115646,34,0.000569,0.000154,97500,9453568,7,bbox-25pct
Montreal.city.jsonl,cityparquet-hilbert,attr-filter,1.000000,294,0.000608,0.000060,43430,8945664,7,object_type=Building
Montreal.city.jsonl,cityparquet-hilbert,id-lookup,0.003401,1,0.007048,0.000149,16605663,30277632,7,id=B-201391184352-CE3F5D7B3BD0
Montreal.city.jsonl,flatcitybuf,full-read,,294,0.009642,0.000090,3685445,12779520,7,
Montreal.city.jsonl,flatcitybuf,count,,294,0.000039,0.000005,9054,7028736,7,
Montreal.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000052,0.000004,9307,7077888,7,bbox-1pct
Montreal.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000063,0.000004,9307,7077888,7,bbox-5pct
Montreal.city.jsonl,flatcitybuf,bbox-query,0.115646,34,0.000105,0.000005,11027,7094272,7,bbox-25pct
Montreal.city.jsonl,flatcitybuf,attr-filter,1.000000,294,0.009447,0.000115,3685546,12189696,7,object_type=Building
Montreal.city.jsonl,flatcitybuf,id-lookup,0.003401,1,0.006843,0.000205,3685499,12500992,7,id=B-201391184352-CE3F5D7B3BD0
Montreal.city.jsonl,cityjsonseq,full-read,,294,0.023478,0.000136,11568537,21348352,7,
Montreal.city.jsonl,cityjsonseq,count,,294,0.022844,0.000568,11568533,21757952,7,
Montreal.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.024123,0.001871,11568586,22118400,7,bbox-1pct
Montreal.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.022888,0.000562,11568586,22151168,7,bbox-5pct
Montreal.city.jsonl,cityjsonseq,bbox-query,0.115646,34,0.022059,0.000243,11568586,20840448,7,bbox-25pct
Montreal.city.jsonl,cityjsonseq,attr-filter,1.000000,294,0.022336,0.000303,11568566,20807680,7,object_type=Building
Montreal.city.jsonl,cityjsonseq,id-lookup,0.003401,1,0.000200,0.000005,280231,7651328,7,id=B-201391184352-CE3F5D7B3BD0
Montreal.city.jsonl,cityjsonseq-gz,full-read,,294,0.032397,0.000384,11348891,21626880,7,
Montreal.city.jsonl,cityjsonseq-gz,count,,294,0.031357,0.000431,11348887,21905408,7,
Montreal.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.030360,0.000390,11348940,22069248,7,bbox-1pct
Montreal.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.030790,0.000623,11348940,21889024,7,bbox-5pct
Montreal.city.jsonl,cityjsonseq-gz,bbox-query,0.115646,34,0.030450,0.000106,11348940,21970944,7,bbox-25pct
Montreal.city.jsonl,cityjsonseq-gz,attr-filter,1.000000,294,0.029839,0.000026,11348920,21561344,7,object_type=Building
Montreal.city.jsonl,cityjsonseq-gz,id-lookup,0.003401,1,0.000268,0.000009,359785,7831552,7,id=B-201391184352-CE3F5D7B3BD0
Montreal,duckdb-parquet,count,,294,0.067754,0.004646,,20185088,7,
Montreal,duckdb-parquet,full-read,,294,0.080825,0.005091,,35405824,7,
Montreal,duckdb-parquet,bbox-query,0.000000,0,0.084450,0.009637,,20987904,7,bbox-1pct
Montreal,duckdb-parquet,bbox-query,0.000000,0,0.070223,0.007692,,21020672,7,bbox-5pct
Montreal,duckdb-parquet,bbox-query,0.115646,34,0.068389,0.002493,,21053440,7,bbox-25pct
Montreal,duckdb-parquet,attr-filter,1.000000,294,0.075827,0.005150,,20529152,7,attr=object_type=Building
Montreal,duckdb-parquet,project,1.000000,294,0.069597,0.004671,,20299776,7,
