dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
NYC.jsonl,cityparquet,full-read,,23777,0.546675,0.001823,62572148,125091840,7,
NYC.jsonl,cityparquet,count,,23777,0.000218,0.000026,43894,8044544,7,
NYC.jsonl,cityparquet,bbox-query,0.000000,0,0.006309,0.000321,2335265,12926976,7,bbox-1pct
NYC.jsonl,cityparquet,bbox-query,0.000715,17,0.006334,0.000025,2335265,13156352,7,bbox-5pct
NYC.jsonl,cityparquet,bbox-query,0.108929,2590,0.006742,0.000135,2459515,13500416,7,bbox-25pct
NYC.jsonl,cityparquet,attr-filter,1.000000,23777,0.000515,0.000022,57075,9043968,7,object_type=Building
NYC.jsonl,cityparquet,id-lookup,0.000042,1,0.006916,0.000081,11997480,28016640,7,id=gml_VE25XALM7RIBJPRO3WTNHV6T6ZUOHY8B02KY
NYC.jsonl,cityparquet-hilbert,full-read,,23777,0.547063,0.004836,88194065,162332672,7,
NYC.jsonl,cityparquet-hilbert,count,,23777,0.000203,0.000009,43926,8077312,7,
NYC.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.006918,0.000097,2334210,13205504,7,bbox-1pct
NYC.jsonl,cityparquet-hilbert,bbox-query,0.000715,17,0.006582,0.000149,2334210,13139968,7,bbox-5pct
NYC.jsonl,cityparquet-hilbert,bbox-query,0.108929,2590,0.006355,0.000051,2473834,13090816,7,bbox-25pct
NYC.jsonl,cityparquet-hilbert,attr-filter,1.000000,23777,0.000474,0.000022,57107,9060352,7,object_type=Building
NYC.jsonl,cityparquet-hilbert,id-lookup,0.000042,1,0.007599,0.000036,12806306,33980416,7,id=gml_VE25XALM7RIBJPRO3WTNHV6T6ZUOHY8B02KY
NYC.jsonl,flatcitybuf,full-read,,23777,0.313751,0.002333,1569678,10223616,7,
NYC.jsonl,flatcitybuf,count,,23777,0.000032,0.000001,9305,6995968,7,
NYC.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000060,0.000011,10094,7061504,7,bbox-1pct
NYC.jsonl,flatcitybuf,bbox-query,0.000715,17,0.000095,0.000033,10478,7094272,7,bbox-5pct
NYC.jsonl,flatcitybuf,bbox-query,0.108929,2590,0.000417,0.000025,112430,7274496,7,bbox-25pct
NYC.jsonl,flatcitybuf,attr-filter,1.000000,23777,0.310134,0.001287,1569771,10207232,7,object_type=Building
NYC.jsonl,flatcitybuf,id-lookup,0.000042,1,0.044972,0.000355,820612,9027584,7,id=gml_VE25XALM7RIBJPRO3WTNHV6T6ZUOHY8B02KY
NYC.jsonl,cityjsonseq,full-read,,23777,0.483177,0.006779,3519282,13271040,7,
NYC.jsonl,cityjsonseq,count,,23777,0.475122,0.002849,3519278,13156352,7,
NYC.jsonl,cityjsonseq,bbox-query,0.000000,0,0.477243,0.005793,3519331,13303808,7,bbox-1pct
NYC.jsonl,cityjsonseq,bbox-query,0.000715,17,0.478253,0.003020,3519331,13385728,7,bbox-5pct
NYC.jsonl,cityjsonseq,bbox-query,0.108929,2590,0.474665,0.007015,3519331,13320192,7,bbox-25pct
NYC.jsonl,cityjsonseq,attr-filter,1.000000,23777,0.484496,0.006492,3519311,13254656,7,object_type=Building
NYC.jsonl,cityjsonseq,id-lookup,0.000042,1,0.000103,0.000006,26689,7356416,7,id=gml_VE25XALM7RIBJPRO3WTNHV6T6ZUOHY8B02KY
NYC.jsonl,cityjsonseq-gz,full-read,,23777,0.548493,0.006491,3806862,13500416,7,
NYC.jsonl,cityjsonseq-gz,count,,23777,0.549616,0.001613,3806858,13516800,7,
NYC.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.536368,0.002399,3806911,13451264,7,bbox-1pct
NYC.jsonl,cityjsonseq-gz,bbox-query,0.000715,17,0.551315,0.003130,3806911,13516800,7,bbox-5pct
NYC.jsonl,cityjsonseq-gz,bbox-query,0.108929,2590,0.546757,0.004895,3806911,13549568,7,bbox-25pct
NYC.jsonl,cityjsonseq-gz,attr-filter,1.000000,23777,0.546145,0.000446,3806891,13533184,7,object_type=Building
NYC.jsonl,cityjsonseq-gz,id-lookup,0.000042,1,0.000131,0.000009,106237,7487488,7,id=gml_VE25XALM7RIBJPRO3WTNHV6T6ZUOHY8B02KY
NYC,duckdb-parquet,count,,23777,0.073061,0.003458,,20021248,7,
NYC,duckdb-parquet,full-read,,23777,0.167109,0.006262,,86032384,7,
NYC,duckdb-parquet,bbox-query,0.000000,0,0.078289,0.007791,,22282240,7,bbox-1pct
NYC,duckdb-parquet,bbox-query,0.000715,17,0.077486,0.008553,,22069248,7,bbox-5pct
NYC,duckdb-parquet,bbox-query,0.108929,2590,0.077611,0.006133,,22249472,7,bbox-25pct
NYC,duckdb-parquet,attr-filter,1.000000,23777,0.081391,0.009365,,20529152,7,attr=object_type=Building
NYC,duckdb-parquet,project,1.000000,23777,0.071095,0.002725,,20086784,7,
