dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
Railway.city.jsonl,cityparquet,full-read,,121,0.022143,0.000660,42561283,61276160,7,
Railway.city.jsonl,cityparquet,count,,121,0.000206,0.000010,44303,8044544,7,
Railway.city.jsonl,cityparquet,bbox-query,0.008264,1,0.000451,0.000038,65622,9388032,7,bbox-1pct
Railway.city.jsonl,cityparquet,bbox-query,0.016529,2,0.000551,0.000157,65622,9371648,7,bbox-5pct
Railway.city.jsonl,cityparquet,bbox-query,0.057851,7,0.000411,0.000058,65622,9420800,7,bbox-25pct
Railway.city.jsonl,cityparquet,attr-filter,0.462810,56,0.000753,0.000025,47790,9338880,7,object_type=BuildingInstallation
Railway.city.jsonl,cityparquet,id-lookup,0.008264,1,0.008285,0.000548,17673867,32358400,7,id=GMLID_BUI336993_213_9312
Railway.city.jsonl,cityparquet-hilbert,full-read,,121,0.021744,0.000475,41372083,58687488,7,
Railway.city.jsonl,cityparquet-hilbert,count,,121,0.000204,0.000010,44335,8077312,7,
Railway.city.jsonl,cityparquet-hilbert,bbox-query,0.008264,1,0.000437,0.000030,67633,9437184,7,bbox-1pct
Railway.city.jsonl,cityparquet-hilbert,bbox-query,0.016529,2,0.000433,0.000015,67633,9502720,7,bbox-5pct
Railway.city.jsonl,cityparquet-hilbert,bbox-query,0.057851,7,0.000820,0.000131,67633,9420800,7,bbox-25pct
Railway.city.jsonl,cityparquet-hilbert,attr-filter,0.462810,56,0.000400,0.000044,47822,9355264,7,object_type=BuildingInstallation
Railway.city.jsonl,cityparquet-hilbert,id-lookup,0.008264,1,0.008001,0.000181,17662047,32866304,7,id=GMLID_BUI336993_213_9312
Railway.city.jsonl,flatcitybuf,full-read,,38,0.010118,0.000251,6424566,17973248,7,
Railway.city.jsonl,flatcitybuf,count,,38,0.000057,0.000003,52405,7061504,7,
Railway.city.jsonl,flatcitybuf,bbox-query,0.026316,1,0.000141,0.000017,52826,7143424,7,bbox-1pct
Railway.city.jsonl,flatcitybuf,bbox-query,0.052632,2,0.000085,0.000029,52826,7143424,7,bbox-5pct
Railway.city.jsonl,flatcitybuf,bbox-query,0.210526,8,0.000109,0.000024,53226,7127040,7,bbox-25pct
Railway.city.jsonl,flatcitybuf,attr-filter,0.462810,56,0.009187,0.000095,6424683,18022400,7,object_type=BuildingInstallation
Railway.city.jsonl,flatcitybuf,id-lookup,0.008264,1,0.002921,0.000038,3930468,12435456,7,id=GMLID_BUI336993_213_9312
Railway.city.jsonl,cityjsonseq,full-read,,38,0.023679,0.000694,18711332,36487168,7,
Railway.city.jsonl,cityjsonseq,count,,38,0.021678,0.000193,18711328,35192832,7,
Railway.city.jsonl,cityjsonseq,bbox-query,0.026316,1,0.021654,0.000204,18711381,35422208,7,bbox-1pct
Railway.city.jsonl,cityjsonseq,bbox-query,0.052632,2,0.022168,0.000184,18711381,36470784,7,bbox-5pct
Railway.city.jsonl,cityjsonseq,bbox-query,0.210526,8,0.022881,0.000323,18711381,36487168,7,bbox-25pct
Railway.city.jsonl,cityjsonseq,attr-filter,0.462810,56,0.020520,0.000226,18711385,33210368,7,object_type=BuildingInstallation
Railway.city.jsonl,cityjsonseq,id-lookup,0.008264,1,0.000653,0.000003,1780778,9486336,7,id=GMLID_BUI336993_213_9312
Railway.city.jsonl,cityjsonseq-gz,full-read,,38,0.028052,0.000717,18136583,32915456,7,
Railway.city.jsonl,cityjsonseq-gz,count,,38,0.026743,0.000252,18136579,33570816,7,
Railway.city.jsonl,cityjsonseq-gz,bbox-query,0.026316,1,0.027984,0.000055,18136632,36028416,7,bbox-1pct
Railway.city.jsonl,cityjsonseq-gz,bbox-query,0.052632,2,0.028034,0.000468,18136632,35979264,7,bbox-5pct
Railway.city.jsonl,cityjsonseq-gz,bbox-query,0.210526,8,0.028097,0.000632,18136632,35717120,7,bbox-25pct
Railway.city.jsonl,cityjsonseq-gz,attr-filter,0.462810,56,0.028323,0.000245,18136636,36126720,7,object_type=BuildingInstallation
Railway.city.jsonl,cityjsonseq-gz,id-lookup,0.008264,1,0.000984,0.000013,1077261,8912896,7,id=GMLID_BUI336993_213_9312
Railway,duckdb-parquet,count,,121,0.066201,0.003897,,20119552,7,
Railway,duckdb-parquet,full-read,,121,0.081811,0.006199,,33947648,7,
Railway,duckdb-parquet,bbox-query,0.008264,1,0.068723,0.001981,,20955136,7,bbox-1pct
Railway,duckdb-parquet,bbox-query,0.016529,2,0.079126,0.004496,,21151744,7,bbox-5pct
Railway,duckdb-parquet,bbox-query,0.057851,7,0.071129,0.007227,,21004288,7,bbox-25pct
Railway,duckdb-parquet,attr-filter,0.462810,56,0.070395,0.004527,,20414464,7,attr=object_type=BuildingInstallation
Railway,duckdb-parquet,project,1.000000,121,0.068989,0.004531,,20185088,7,
