dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
Rotterdam.jsonl,cityparquet,full-read,,853,0.010501,0.000268,16962938,29851648,7,
Rotterdam.jsonl,cityparquet,count,,853,0.000210,0.000018,47941,8077312,7,
Rotterdam.jsonl,cityparquet,bbox-query,0.000000,0,0.000628,0.000045,229127,9781248,7,bbox-1pct
Rotterdam.jsonl,cityparquet,bbox-query,0.000000,0,0.001153,0.000165,229127,9797632,7,bbox-5pct
Rotterdam.jsonl,cityparquet,bbox-query,0.019930,17,0.001231,0.000036,229127,9781248,7,bbox-25pct
Rotterdam.jsonl,cityparquet,attr-filter,1.000000,853,0.000609,0.000187,52911,9076736,7,object_type=Building
Rotterdam.jsonl,cityparquet,attr-stats,1.000000,853,0.000536,0.000063,50452,8765440,7,attr=TerrainHeight
Rotterdam.jsonl,cityparquet,id-lookup,0.001172,1,0.003269,0.000060,5200984,19251200,7,id={4F211C83-4917-449C-AE61-D8E10B4F75F2}
Rotterdam.jsonl,cityparquet,project,1.000000,853,0.000491,0.000071,50449,8798208,7,attr=TerrainHeight
Rotterdam.jsonl,cityparquet-hilbert,full-read,,853,0.010485,0.000991,17145129,30441472,7,
Rotterdam.jsonl,cityparquet-hilbert,count,,853,0.000210,0.000017,47973,8060928,7,
Rotterdam.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000726,0.000048,229046,9781248,7,bbox-1pct
Rotterdam.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000640,0.000100,229046,9781248,7,bbox-5pct
Rotterdam.jsonl,cityparquet-hilbert,bbox-query,0.019930,17,0.001161,0.000031,229046,9814016,7,bbox-25pct
Rotterdam.jsonl,cityparquet-hilbert,attr-filter,1.000000,853,0.000461,0.000132,52943,9027584,7,object_type=Building
Rotterdam.jsonl,cityparquet-hilbert,attr-stats,1.000000,853,0.000523,0.000021,50487,8749056,7,attr=TerrainHeight
Rotterdam.jsonl,cityparquet-hilbert,id-lookup,0.001172,1,0.004944,0.000560,5123854,18612224,7,id={4F211C83-4917-449C-AE61-D8E10B4F75F2}
Rotterdam.jsonl,cityparquet-hilbert,project,1.000000,853,0.000405,0.000156,50484,8781824,7,attr=TerrainHeight
Rotterdam.jsonl,flatcitybuf,full-read,,853,0.005860,0.000169,353465,8290304,7,
Rotterdam.jsonl,flatcitybuf,count,,853,0.000038,0.000003,9359,7028736,7,
Rotterdam.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000114,0.000010,9732,7110656,7,bbox-1pct
Rotterdam.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000105,0.000019,9732,7077888,7,bbox-5pct
Rotterdam.jsonl,flatcitybuf,bbox-query,0.019930,17,0.000129,0.000004,10516,7077888,7,bbox-25pct
Rotterdam.jsonl,flatcitybuf,attr-filter,1.000000,853,0.006252,0.000296,353566,8355840,7,object_type=Building
Rotterdam.jsonl,flatcitybuf,attr-stats,1.000000,853,0.007835,0.000708,353479,8355840,7,attr=TerrainHeight
