dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
Vienna.city.jsonl,cityjsonseq,full-read,,307,0.022474,0.000096,2753701,11632640,5,
Vienna.city.jsonl,cityjsonseq,count,,307,0.021666,0.000323,2753697,11927552,5,
Vienna.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.022145,0.000167,2753750,11976704,5,bbox-1pct
Vienna.city.jsonl,cityjsonseq,bbox-query,0.000000,0,0.022137,0.000144,2753750,12009472,5,bbox-5pct
Vienna.city.jsonl,cityjsonseq,bbox-query,0.048860,15,0.022048,0.000100,2753750,11976704,5,bbox-25pct
Vienna.city.jsonl,cityjsonseq,attr-filter,0.767776,1015,0.021771,0.000068,2753738,11763712,5,object_type=BuildingPart
Vienna.city.jsonl,cityjsonseq,attr-stats,0.833585,1102,0.021649,0.000035,2753716,11780096,5,attr=measuredHeight
Vienna.city.jsonl,cityjsonseq,id-lookup,0.000756,1,0.000178,0.000013,209416,7618560,5,id=UUID_LOD2_012085-3cf71744-1548-4391-8231
Vienna.city.jsonl,cityjsonseq,project,0.833585,1102,0.021615,0.000151,2753713,11780096,5,attr=measuredHeight
Vienna.city.jsonl,cityjsonseq-gz,full-read,,307,0.029021,0.000089,2812129,12124160,5,
Vienna.city.jsonl,cityjsonseq-gz,count,,307,0.028277,0.000099,2812125,11829248,5,
Vienna.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.028384,0.000137,2812178,11894784,5,bbox-1pct
Vienna.city.jsonl,cityjsonseq-gz,bbox-query,0.000000,0,0.028720,0.000290,2812178,11894784,5,bbox-5pct
Vienna.city.jsonl,cityjsonseq-gz,bbox-query,0.048860,15,0.028685,0.000271,2812178,11894784,5,bbox-25pct
Vienna.city.jsonl,cityjsonseq-gz,attr-filter,0.767776,1015,0.029898,0.001401,2812166,11976704,5,object_type=BuildingPart
Vienna.city.jsonl,cityjsonseq-gz,attr-stats,0.833585,1102,0.030039,0.000053,2812144,11829248,5,attr=measuredHeight
Vienna.city.jsonl,cityjsonseq-gz,id-lookup,0.000756,1,0.000260,0.000008,287828,7749632,5,id=UUID_LOD2_012085-3cf71744-1548-4391-8231
Vienna.city.jsonl,cityjsonseq-gz,project,0.833585,1102,0.028519,0.000232,2812141,11862016,5,attr=measuredHeight
Vienna.city.jsonl,cityparquet,full-read,,1322,0.025864,0.000154,34282401,53542912,5,
Vienna.city.jsonl,cityparquet,count,,1322,0.000224,0.000007,51840,8110080,5,
Vienna.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000736,0.000022,299815,9912320,5,bbox-1pct
Vienna.city.jsonl,cityparquet,bbox-query,0.000000,0,0.000745,0.000008,299815,9912320,5,bbox-5pct
Vienna.city.jsonl,cityparquet,bbox-query,0.040847,54,0.000727,0.000020,299815,9912320,5,bbox-25pct
Vienna.city.jsonl,cityparquet,attr-filter,0.767776,1015,0.000376,0.000007,57480,9371648,5,object_type=BuildingPart
Vienna.city.jsonl,cityparquet,attr-stats,0.833585,1102,0.000264,0.000020,63595,8798208,5,attr=measuredHeight
Vienna.city.jsonl,cityparquet,id-lookup,0.000756,1,0.004243,0.000019,7900826,22839296,5,id=UUID_LOD2_012085-3cf71744-1548-4391-8231
Vienna.city.jsonl,cityparquet,project,0.833585,1102,0.000284,0.000015,63592,8814592,5,attr=measuredHeight
Vienna.city.jsonl,cityparquet-hilbert,full-read,,1322,0.025566,0.000183,32599798,52379648,5,
Vienna.city.jsonl,cityparquet-hilbert,count,,1322,0.000204,0.000005,51872,8110080,5,
Vienna.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000745,0.000021,297225,9879552,5,bbox-1pct
Vienna.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.000739,0.000009,297225,9895936,5,bbox-5pct
Vienna.city.jsonl,cityparquet-hilbert,bbox-query,0.040847,54,0.000750,0.000010,297225,9895936,5,bbox-25pct
Vienna.city.jsonl,cityparquet-hilbert,attr-filter,0.767776,1015,0.000340,0.000005,57515,9371648,5,object_type=BuildingPart
Vienna.city.jsonl,cityparquet-hilbert,attr-stats,0.833585,1102,0.000271,0.000010,63629,8798208,5,attr=measuredHeight
Vienna.city.jsonl,cityparquet-hilbert,id-lookup,0.000756,1,0.004308,0.000194,7422734,24199168,5,id=UUID_LOD2_012085-3cf71744-1548-4391-8231
Vienna.city.jsonl,cityparquet-hilbert,project,0.833585,1102,0.000314,0.000006,63626,8863744,5,attr=measuredHeight
Vienna.city.jsonl,flatcitybuf,full-read,,307,0.015671,0.000076,1276410,9388032,5,
Vienna.city.jsonl,flatcitybuf,count,,307,0.000039,0.000001,9588,7012352,5,
Vienna.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000053,0.000004,10361,7077888,5,bbox-1pct
Vienna.city.jsonl,flatcitybuf,bbox-query,0.000000,0,0.000064,0.000008,10361,7077888,5,bbox-5pct
Vienna.city.jsonl,flatcitybuf,bbox-query,0.048860,15,0.000052,0.000002,10745,7077888,5,bbox-25pct
Vienna.city.jsonl,flatcitybuf,attr-filter,0.767776,1015,0.015464,0.000094,1276511,9453568,5,object_type=BuildingPart
Vienna.city.jsonl,flatcitybuf,attr-stats,0.833585,1102,0.015884,0.000178,1276425,9453568,5,attr=measuredHeight
Vienna.city.jsonl,flatcitybuf,id-lookup,0.000756,1,0.010220,0.000075,1276490,9519104,5,id=UUID_LOD2_012085-3cf71744-1548-4391-8231
Vienna.city.jsonl,flatcitybuf,project,0.833585,1102,0.015429,0.000069,1276422,9502720,5,attr=measuredHeight
Vienna,duckdb-parquet,count,,1322,0.060124,0.001652,,20054016,5,
Vienna,duckdb-parquet,full-read,,1322,0.066444,0.001090,,33423360,5,
Vienna,duckdb-parquet,bbox-query,0.000000,0,0.060242,0.000887,,21233664,5,bbox-1pct
Vienna,duckdb-parquet,bbox-query,0.000000,0,0.064360,0.003629,,21233664,5,bbox-5pct
Vienna,duckdb-parquet,bbox-query,0.040847,54,0.060036,0.000567,,21102592,5,bbox-25pct
Vienna,duckdb-parquet,attr-filter,0.767776,1015,0.059726,0.000525,,20480000,5,attr=object_type=BuildingPart
Vienna,duckdb-parquet,attr-stats,0.833585,1102,0.060062,0.000929,,20856832,5,attr=measuredHeight min=0.01 max=42.52 sum=22047.169999999955
Vienna,duckdb-parquet,project,1.000000,1322,0.059802,0.000888,,20185088,5,
