dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes
lod3_railway.city.json,cityjsonseq,full-read,,38,0.064246,0.000759,104748005,139870208,5,
lod3_railway.city.json,cityjsonseq,count,,38,0.064146,0.000335,104748001,141213696,5,
lod3_railway.city.json,cityjsonseq,bbox-query,0.026316,1,0.064781,0.000550,104748006,140754944,5,bbox-1pct
lod3_railway.city.json,cityjsonseq,bbox-query,0.052632,2,0.063578,0.000161,104748006,139968512,5,bbox-5pct
lod3_railway.city.json,cityjsonseq,bbox-query,0.210526,8,0.064533,0.001447,104748006,139968512,5,bbox-25pct
lod3_railway.city.json,cityjsonseq,attr-filter,0.462810,56,0.065071,0.000393,104748058,140607488,5,object_type=BuildingInstallation
lod3_railway.city.json,cityjsonseq,id-lookup,0.008264,1,0.029503,0.000409,104748028,121257984,5,id=GMLID_0314272_32937_848
lod3_railway.city.json,cityjsonseq-gz,full-read,,38,0.069242,0.000514,103813522,141590528,5,
lod3_railway.city.json,cityjsonseq-gz,count,,38,0.069639,0.001448,103813516,140001280,5,
lod3_railway.city.json,cityjsonseq-gz,bbox-query,0.026316,1,0.077944,0.002344,103813524,140410880,5,bbox-1pct
lod3_railway.city.json,cityjsonseq-gz,bbox-query,0.052632,2,0.071827,0.000756,103813523,139296768,5,bbox-5pct
lod3_railway.city.json,cityjsonseq-gz,bbox-query,0.210526,8,0.070424,0.000110,103813525,139280384,5,bbox-25pct
lod3_railway.city.json,cityjsonseq-gz,attr-filter,0.462810,56,0.070750,0.000338,103813576,139952128,5,object_type=BuildingInstallation
lod3_railway.city.json,cityjsonseq-gz,id-lookup,0.008264,1,0.034211,0.000177,103813546,121618432,5,id=GMLID_0314272_32937_848
lod3_railway.city.json,cityparquet,full-read,,121,0.021908,0.000036,41752865,57933824,5,
lod3_railway.city.json,cityparquet,count,,121,0.000202,0.000008,44752,8110080,5,
lod3_railway.city.json,cityparquet,bbox-query,0.008264,1,0.000423,0.000009,67702,9502720,5,bbox-1pct
lod3_railway.city.json,cityparquet,bbox-query,0.016529,2,0.000414,0.000011,67702,9437184,5,bbox-5pct
lod3_railway.city.json,cityparquet,bbox-query,0.057851,7,0.000394,0.000020,67702,9437184,5,bbox-25pct
lod3_railway.city.json,cityparquet,attr-filter,0.462810,56,0.000311,0.000003,48210,9371648,5,object_type=BuildingInstallation
lod3_railway.city.json,cityparquet,id-lookup,0.008264,1,0.006919,0.000056,17670533,31571968,5,id=GMLID_0314272_32937_848
lod3_railway.city.json,cityparquet-hilbert,full-read,,121,0.021966,0.000106,41372381,58523648,5,
lod3_railway.city.json,cityparquet-hilbert,count,,121,0.000189,0.000001,44784,8110080,5,
lod3_railway.city.json,cityparquet-hilbert,bbox-query,0.008264,1,0.000402,0.000012,67899,9469952,5,bbox-1pct
lod3_railway.city.json,cityparquet-hilbert,bbox-query,0.016529,2,0.000396,0.000008,67899,9453568,5,bbox-5pct
lod3_railway.city.json,cityparquet-hilbert,bbox-query,0.057851,7,0.000402,0.000027,67899,9420800,5,bbox-25pct
lod3_railway.city.json,cityparquet-hilbert,attr-filter,0.462810,56,0.000363,0.000011,48239,9388032,5,object_type=BuildingInstallation
lod3_railway.city.json,cityparquet-hilbert,id-lookup,0.008264,1,0.007049,0.000037,17662344,31358976,5,id=GMLID_0314272_32937_848
lod3_railway.city.json,flatcitybuf,full-read,,38,0.009389,0.000047,6424571,17498112,5,
lod3_railway.city.json,flatcitybuf,count,,38,0.000056,0.000003,52410,7077888,5,
lod3_railway.city.json,flatcitybuf,bbox-query,0.026316,1,0.000060,0.000008,52831,7143424,5,bbox-1pct
lod3_railway.city.json,flatcitybuf,bbox-query,0.052632,2,0.000053,0.000005,52831,7143424,5,bbox-5pct
lod3_railway.city.json,flatcitybuf,bbox-query,0.210526,8,0.000055,0.000004,53231,7143424,5,bbox-25pct
lod3_railway.city.json,flatcitybuf,attr-filter,0.462810,56,0.009220,0.000093,6424688,17072128,5,object_type=BuildingInstallation
lod3_railway.city.json,flatcitybuf,id-lookup,0.008264,1,0.005634,0.000039,6424617,14860288,5,id=GMLID_0314272_32937_848
lod3_railway,duckdb-parquet,count,,121,0.059898,0.000992,,19824640,5,
lod3_railway,duckdb-parquet,full-read,,121,0.070046,0.002584,,34078720,5,
lod3_railway,duckdb-parquet,bbox-query,0.008264,1,0.060514,0.000558,,21118976,5,bbox-1pct
lod3_railway,duckdb-parquet,bbox-query,0.016529,2,0.060023,0.001371,,21053440,5,bbox-5pct
lod3_railway,duckdb-parquet,bbox-query,0.057851,7,0.063031,0.000749,,21086208,5,bbox-25pct
lod3_railway,duckdb-parquet,attr-filter,0.462810,56,0.059711,0.000768,,20496384,5,attr=object_type=BuildingInstallation
lod3_railway,duckdb-parquet,project,1.000000,121,0.059567,0.001550,,20135936,5,
