dataset,format,bytes,mb,ratio_vs_cityjsonseq
3DBAG,cityjsonseq,6158306,5.873018264770508,1.0
3DBAG,cityjsonseq-gz,1221761,1.1651620864868164,5.040516107487471
3DBAG,cityparquet,2334035,2.2259092330932617,2.638480571199661
3DBAG,cityparquet-hilbert,2293536,2.187286376953125,2.685070563531595
3DBAG,flatcitybuf,7158115,6.826510429382324,0.8603250995548409
9-284-556,cityjsonseq,9689576,9.240699768066406,1.0
9-284-556,cityjsonseq-gz,1900526,1.8124828338623047,5.098365399894556
9-284-556,cityparquet,2747927,2.6206274032592773,3.5261402504506125
9-284-556,cityparquet-hilbert,2732780,2.606182098388672,3.5456846142023872
9-284-556,flatcitybuf,9341063,8.908331871032715,1.037309779411615
Ingolstadt,cityjsonseq,4025892,3.8393898010253906,1.0
Ingolstadt,cityjsonseq-gz,1034701,0.9867677688598633,3.8908747551224945
Ingolstadt,cityparquet,964039,0.9193792343139648,4.176067565731262
Ingolstadt,cityparquet-hilbert,962890,0.9182834625244141,4.181050795002545
Ingolstadt,flatcitybuf,3277314,3.125490188598633,1.2284120471825404
Montreal,cityjsonseq,4822019,4.598635673522949,1.0
Montreal,cityjsonseq-gz,1458855,1.3912725448608398,3.30534494517961
Montreal,cityparquet,1757874,1.6764392852783203,2.7430970592886634
Montreal,cityparquet-hilbert,1748637,1.6676301956176758,2.7575871950553488
Montreal,flatcitybuf,5045936,4.8121795654296875,0.9556242885363587
NYC,cityjsonseq,100087976,95.45133209228516,1.0
NYC,cityjsonseq-gz,12796559,12.203749656677246,7.8214757576626655
NYC,cityparquet,18081750,17.24410057067871,5.535303607228283
NYC,cityparquet-hilbert,17124485,16.331181526184082,5.844729111561604
NYC,flatcitybuf,85047064,81.1072006225586,1.176853982872354
Railway,cityjsonseq,4246374,4.049657821655273,1.0
Railway,cityjsonseq-gz,1214778,1.1585025787353516,3.4955967263154255
Railway,cityparquet,1358084,1.2951698303222656,3.126738846787091
Railway,cityparquet-hilbert,1355193,1.2924127578735352,3.1334090421069174
Railway,flatcitybuf,3938168,3.7557296752929688,1.0782612625972279
Rotterdam,cityjsonseq,2822644,2.691883087158203,1.0
Rotterdam,cityjsonseq-gz,716601,0.6834039688110352,3.9389339395284124
Rotterdam,cityparquet,800427,0.7633466720581055,3.5264227718455277
Rotterdam,cityparquet-hilbert,790041,0.7534418106079102,3.5727816657616502
Rotterdam,flatcitybuf,3012080,2.8725433349609375,0.9371079121404478
Vienna,cityjsonseq,5038989,4.805554389953613,1.0
Vienna,cityjsonseq-gz,1205129,1.1493005752563477,4.18128598681137
Vienna,cityparquet,1401145,1.3362360000610352,3.596336567592933
Vienna,cityparquet-hilbert,1388633,1.3243036270141602,3.6287406391753616
Vienna,flatcitybuf,4410870,4.206533432006836,1.1424025192309
Zurich,cityjsonseq,259121439,247.1174612045288,1.0
Zurich,cityjsonseq-gz,51173732,48.80307388305664,5.063563450873585
Zurich,cityparquet,74111468,70.67820358276367,3.4963743937712852
Zurich,cityparquet-hilbert,70988958,67.70034599304199,3.650165410231828
Zurich,flatcitybuf,205339726,195.82722282409668,1.2619157726936872
delft,cityjsonseq,6605724,6.299709320068359,1.0
delft,cityjsonseq-gz,1362984,1.2998428344726562,4.846516173337324
delft,cityparquet,2337644,2.229351043701172,2.825804100196608
delft,cityparquet-hilbert,2295495,2.189154624938965,2.877690432782472
delft,flatcitybuf,7663080,7.308082580566406,0.8620194490987958
lod3_railway,cityjsonseq,4522415,4.312911033630371,1.0
lod3_railway,cityjsonseq-gz,1210296,1.1542282104492188,3.736618975853841
lod3_railway,cityparquet,1353937,1.291214942932129,3.340196035709195
lod3_railway,cityparquet-hilbert,1355401,1.2926111221313477,3.336588212639654
lod3_railway,flatcitybuf,3938180,3.7557411193847656,1.1483515227846366
