dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
vienna_102081.city.json,cityjson,full-read,,1322,0.225953,0.008942,69671507,79704064,7,,,
vienna_102081.city.json,cityjson,count,,1322,0.200996,0.003684,69671503,79691776,7,,,
vienna_102081.city.json,cityjson,bbox-query,0.000000,0,0.209052,0.014855,69671508,79699968,7,bbox-1pct,,
vienna_102081.city.json,cityjson,bbox-query,0.000000,0,0.229797,0.002554,69671508,79699968,7,bbox-5pct,,
vienna_102081.city.json,cityjson,bbox-query,0.031770,42,0.223240,0.009196,69671508,80748544,7,bbox-25pct,,
vienna_102081.city.json,cityjson,attr-filter,0.767776,1015,0.185416,0.003902,69671544,80744448,7,object_type=BuildingPart,,
vienna_102081.city.json,cityjson,attr-stats,0.833585,1102,0.183727,0.003896,69671522,79704064,7,attr=measuredHeight,,
vienna_102081.city.json,cityjson,id-lookup,0.000756,1,0.199746,0.005725,69671547,79704064,7,id=UUID_LOD2_012966-eef4e07a-b571-4d06-9c18,,
vienna_102081.city.json,cityjson,project,0.833585,1102,0.183538,0.003083,69671519,79704064,7,attr=measuredHeight,,
vienna_102081.city.json,cityjsonseq,full-read,,307,0.141554,0.000952,12591919,17571840,7,,,
vienna_102081.city.json,cityjsonseq,count,,307,0.137863,0.000880,12591915,17580032,7,,,
vienna_102081.city.json,cityjsonseq,bbox-query,0.000000,0,0.138494,0.000606,12591920,17584128,7,bbox-1pct,,
vienna_102081.city.json,cityjsonseq,bbox-query,0.000000,0,0.137945,0.001701,12591920,17575936,7,bbox-5pct,,
vienna_102081.city.json,cityjsonseq,bbox-query,0.048860,15,0.138012,0.001380,12591920,17588224,7,bbox-25pct,,
vienna_102081.city.json,cityjsonseq,attr-filter,0.767776,1015,0.138493,0.001043,12591956,17571840,7,object_type=BuildingPart,,
vienna_102081.city.json,cityjsonseq,attr-stats,0.833585,1102,0.138647,0.001083,12591934,17580032,7,attr=measuredHeight,,
vienna_102081.city.json,cityjsonseq,id-lookup,0.000756,1,0.037154,0.000408,12591959,17580032,7,id=UUID_LOD2_012966-eef4e07a-b571-4d06-9c18,,
vienna_102081.city.json,cityjsonseq,project,0.833585,1102,0.137891,0.000623,12591931,17571840,7,attr=measuredHeight,,
vienna_102081.city.json,flatcitybuf,full-read,,307,0.068780,0.000313,1282795,9453568,7,,,
vienna_102081.city.json,flatcitybuf,count,,307,0.000078,0.000007,9533,9453568,7,,,
vienna_102081.city.json,flatcitybuf,bbox-query,0.000000,0,0.000117,0.000014,10306,9453568,7,bbox-1pct,,
vienna_102081.city.json,flatcitybuf,bbox-query,0.000000,0,0.000104,0.000003,10306,9453568,7,bbox-5pct,,
vienna_102081.city.json,flatcitybuf,bbox-query,0.048860,15,0.000121,0.000008,10690,9453568,7,bbox-25pct,,
vienna_102081.city.json,flatcitybuf,attr-filter,0.767776,1015,0.068849,0.000347,1282832,9453568,7,object_type=BuildingPart;no-attr-index,,
vienna_102081.city.json,flatcitybuf,attr-stats,0.833585,1102,0.068408,0.000294,1282810,9453568,7,attr=measuredHeight,,
vienna_102081.city.json,flatcitybuf,id-lookup,0.000756,1,0.045508,0.000144,1282875,9453568,7,id=UUID_LOD2_012966-eef4e07a-b571-4d06-9c18;no-attr-index,,
vienna_102081.city.json,flatcitybuf,project,0.833585,1102,0.068344,0.000325,1282807,9453568,7,attr=measuredHeight,,
vienna_102081.city.json,cityparquet-hilbert,full-read,,1322,0.161696,0.002792,35410280,47403008,7,,,
vienna_102081.city.json,cityparquet-hilbert,count,,1322,0.000931,0.000039,86567,9453568,7,,,
vienna_102081.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.002920,0.000159,317881,9453568,7,bbox-1pct,,
vienna_102081.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.003016,0.000166,317881,9453568,7,bbox-5pct,,
vienna_102081.city.json,cityparquet-hilbert,bbox-query,0.040847,54,0.003026,0.000250,317881,9453568,7,bbox-25pct,,
vienna_102081.city.json,cityparquet-hilbert,attr-filter,0.767776,1015,0.001460,0.000104,86620,9453568,7,object_type=BuildingPart,,
vienna_102081.city.json,cityparquet-hilbert,attr-stats,0.833585,1102,0.001176,0.000073,86586,9453568,7,attr=measuredHeight,,
vienna_102081.city.json,cityparquet-hilbert,id-lookup,0.000756,1,0.029411,0.000648,7931724,18067456,7,id=UUID_LOD2_012966-eef4e07a-b571-4d06-9c18,,
vienna_102081.city.json,cityparquet-hilbert,project,0.833585,1102,0.001192,0.000082,86583,9453568,7,attr=measuredHeight,,
