dataset,variant,object_count,write_s,total_bytes,cityobjects_bytes,sidecar_bytes,full_scan_s,window_query_s,row_groups_total,row_groups_touched,roundtrip_equal
9-196-328.city.json,cityparquet,60,0.008268,118992,118800,0,0.002190,0.001730,1,1,true
9-196-328.city.json,parquet-defaults,60,0.006552,121752,121560,0,0.001618,0.001906,1,1,true
9-196-328.city.json,no-dictionary,60,0.006265,115931,115739,0,0.001229,0.001033,1,1,true
9-196-328.city.json,no-bss,60,0.006463,118345,118153,0,0.002528,0.001573,1,1,true
9-196-328.city.json,no-delta,60,0.006525,119039,118847,0,0.001683,0.001749,1,1,true
9-196-328.city.json,snappy,60,0.005656,159096,158904,0,0.001495,0.001460,1,1,true
9-196-328.city.json,cityparquet+hilbert,60,0.006298,119027,118835,0,0.001694,0.001813,1,1,true
9-196-328.city.json,cityparquet+by-type,60,0.007168,153722,153481,0,0.002995,0.002895,2,2,true
9-196-328.city.json,cityparquet+rg512,60,0.006586,118992,118800,0,0.001639,0.001434,1,1,true
9-196-328.city.json,cityparquet+hilbert+rg512,60,0.006749,119027,118835,0,0.001682,0.001658,1,1,true
9-196-328.city.json,duckdb-copy,60,0.097547,98056,98056,0,0.066166,,,,
9-196-328.city.json,duckdb-copy-zstd,60,0.095918,69628,69628,0,0.066494,,,,
