dataset,variant,object_count,write_s,total_bytes,cityobjects_bytes,sidecar_bytes,full_scan_s,window_query_s,row_groups_total,row_groups_touched,roundtrip_equal
delft.city.jsonl,cityparquet,2231,0.132224,2337653,2337461,0,0.008864,0.008185,1,1,true
delft.city.jsonl,parquet-defaults,2231,0.127875,2323899,2323707,0,0.008568,0.008420,1,1,true
delft.city.jsonl,no-dictionary,2231,0.124565,2323505,2323313,0,0.007799,0.007562,1,1,true
delft.city.jsonl,no-bss,2231,0.125121,2302105,2301913,0,0.007872,0.007805,1,1,true
delft.city.jsonl,no-delta,2231,0.125008,2345717,2345525,0,0.008220,0.008101,1,1,true
delft.city.jsonl,snappy,2231,0.118409,3720228,3720036,0,0.006883,0.006557,1,1,true
delft.city.jsonl,cityparquet+hilbert,2231,0.125036,2295504,2295312,0,0.007805,0.007855,1,1,true
delft.city.jsonl,cityparquet+by-type,2231,0.125404,2366408,2366167,0,0.008726,0.008605,2,2,true
delft.city.jsonl,cityparquet+rg512,2231,0.125633,2456530,2456338,0,0.012029,0.005681,5,2,true
delft.city.jsonl,cityparquet+hilbert+rg512,2231,0.129586,2387993,2387801,0,0.011530,0.002508,5,1,true
delft.city.jsonl,duckdb-copy,2231,0.390594,1464928,1464928,0,0.064071,,,,
delft.city.jsonl,duckdb-copy-zstd,2231,0.394622,838144,838144,0,0.065480,,,,
