dataset,variant,object_count,write_s,total_bytes,cityobjects_bytes,sidecar_bytes,full_scan_s,window_query_s,row_groups_total,row_groups_touched,roundtrip_equal
lod3_railway.city.json,cityparquet,121,0.143509,1378783,1353854,24685,0.006582,0.006420,1,1,true
lod3_railway.city.json,parquet-defaults,121,0.147492,1379831,1354902,24685,0.007357,0.007225,1,1,true
lod3_railway.city.json,no-dictionary,121,0.145989,1379764,1354835,24685,0.006095,0.006074,1,1,true
lod3_railway.city.json,no-bss,121,0.144167,1377944,1353015,24685,0.006400,0.006461,1,1,true
lod3_railway.city.json,no-delta,121,0.146433,1378894,1353965,24685,0.006239,0.006293,1,1,true
lod3_railway.city.json,snappy,121,0.141209,2544962,2520033,24685,0.005193,0.005215,1,1,true
lod3_railway.city.json,cityparquet+hilbert,121,0.151834,1380222,1355318,24660,0.006041,0.006125,1,1,true
lod3_railway.city.json,cityparquet+by-type,121,0.153508,1498615,1473126,24685,0.008943,0.005144,14,4,true
lod3_railway.city.json,cityparquet+rg4096,121,0.145418,1378783,1353854,24685,0.006481,0.006537,1,1,true
lod3_railway.city.json,cityparquet+hilbert+rg4096,121,0.146543,1380222,1355318,24660,0.006061,0.006093,1,1,true
lod3_railway.city.json,duckdb-copy,121,0.316058,11205,11205,0,0.058705,,,,
lod3_railway.city.json,duckdb-copy-zstd,121,0.316321,8450,8450,0,0.057865,,,,
