dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
3dbag_n50000.city.jsonl,cityparquet,full-read,,50001,3.217008,0.023925,57376150,83501056,7,,,
3dbag_n50000.city.jsonl,cityparquet,count,,50001,0.001431,0.000021,210425,11550720,7,,,
3dbag_n50000.city.jsonl,cityparquet,bbox-query,0.000000,0,0.041650,0.000657,1872622,11571200,7,bbox-1pct,,
3dbag_n50000.city.jsonl,cityparquet,bbox-query,0.001400,70,0.042008,0.000209,1877864,11579392,7,bbox-5pct,,
3dbag_n50000.city.jsonl,cityparquet,bbox-query,0.072279,3614,0.042800,0.000401,2082960,11563008,7,bbox-25pct,,
3dbag_n50000.city.jsonl,cityparquet,attr-filter,0.500130,25007,0.007098,0.000120,1757375,11550720,7,object_type=BuildingPart,,
3dbag_n50000.city.jsonl,cityparquet,attr-stats,0.312894,15645,0.002475,0.000005,210448,11550720,7,attr=b3_bag_bag_overlap,,
3dbag_n50000.city.jsonl,cityparquet,id-lookup,0.000020,1,0.090773,0.000984,20438344,37257216,7,id=NL.IMBAG.Pand.0282100000003399,,
3dbag_n50000.city.jsonl,cityparquet,project,0.312894,15645,0.002150,0.000017,210445,11550720,7,attr=b3_bag_bag_overlap,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,full-read,,50001,3.211902,0.042585,55010784,82354176,7,,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,count,,50001,0.001519,0.000018,210441,11550720,7,,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.041938,0.000359,1877013,11554816,7,bbox-1pct,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,bbox-query,0.001400,70,0.041560,0.000721,1882255,11571200,7,bbox-5pct,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,bbox-query,0.072279,3614,0.043085,0.000407,2087351,11558912,7,bbox-25pct,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,attr-filter,0.500130,25007,0.006999,0.000113,1757391,11550720,7,object_type=BuildingPart,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,attr-stats,0.312894,15645,0.002373,0.000047,210464,11550720,7,attr=b3_bag_bag_overlap,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,id-lookup,0.000020,1,0.105310,0.001328,22345171,39862272,7,id=NL.IMBAG.Pand.0282100000003399,,
3dbag_n50000.city.jsonl,cityparquet-hilbert,project,0.312894,15645,0.002199,0.000014,210461,11550720,7,attr=b3_bag_bag_overlap,,
