dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_clermont_lod3_1.gml,cityparquet,full-read,,10325,0.568134,0.007674,31742590,46989312,7,,,
craig_clermont_lod3_1.gml,cityparquet,count,,10325,0.000979,0.000014,109856,10498048,7,,,
craig_clermont_lod3_1.gml,cityparquet,bbox-query,0.000000,0,0.013608,0.000380,1280205,10502144,7,bbox-1pct,,
craig_clermont_lod3_1.gml,cityparquet,bbox-query,0.000000,0,0.012358,0.000706,1280205,10502144,7,bbox-5pct,,
craig_clermont_lod3_1.gml,cityparquet,bbox-query,0.008620,89,0.013675,0.000432,1280205,10506240,7,bbox-25pct,,
craig_clermont_lod3_1.gml,cityparquet,attr-filter,0.892010,9210,0.001923,0.000036,143916,10498048,7,object_type=BuildingInstallation,,
craig_clermont_lod3_1.gml,cityparquet,attr-stats,0.107990,1115,0.001383,0.000030,109869,10498048,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityparquet,id-lookup,0.000097,1,0.035953,0.000472,8316206,19939328,7,id=63113000BH0146_000,,
craig_clermont_lod3_1.gml,cityparquet,project,0.107990,1115,0.001279,0.000063,109866,10498048,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,full-read,,10325,0.574257,0.008821,30431639,48525312,7,,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,count,,10325,0.001122,0.000091,109872,10498048,7,,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.013726,0.000073,1278064,10502144,7,bbox-1pct,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.011962,0.000574,1278064,10498048,7,bbox-5pct,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,bbox-query,0.008620,89,0.013366,0.000559,1278064,10506240,7,bbox-25pct,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,attr-filter,0.892010,9210,0.002015,0.000181,143932,10498048,7,object_type=BuildingInstallation,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,attr-stats,0.107990,1115,0.001427,0.000128,109885,10498048,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,id-lookup,0.000097,1,0.051697,0.000740,11474803,23830528,7,id=63113000BH0146_000,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,project,0.107990,1115,0.001382,0.000106,109882,10498048,7,attr=OVERHANG,,
