dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_riom_lod2_2.gml,cityparquet,full-read,,2493,0.265304,0.003247,36627247,52424704,7,,,
craig_riom_lod2_2.gml,cityparquet,count,,2493,0.000991,0.000052,107850,9441280,7,,,
craig_riom_lod2_2.gml,cityparquet,bbox-query,0.000000,0,0.004410,0.000179,388207,9457664,7,bbox-1pct,,
craig_riom_lod2_2.gml,cityparquet,bbox-query,0.000000,0,0.004516,0.000059,388207,9453568,7,bbox-5pct,,
craig_riom_lod2_2.gml,cityparquet,bbox-query,0.032491,81,0.004430,0.000145,388207,9453568,7,bbox-25pct,,
craig_riom_lod2_2.gml,cityparquet,attr-filter,1.000000,2493,0.001497,0.000168,107891,9441280,7,object_type=Building,,
craig_riom_lod2_2.gml,cityparquet,attr-stats,1.000000,2493,0.001251,0.000018,107863,9441280,7,attr=OVERHANG,,
craig_riom_lod2_2.gml,cityparquet,id-lookup,0.000401,1,0.032977,0.001066,8101181,18284544,7,id=63103000ZB1196_000,,
craig_riom_lod2_2.gml,cityparquet,project,1.000000,2493,0.001348,0.000094,107860,9441280,7,attr=OVERHANG,,
craig_riom_lod2_2.gml,cityparquet-hilbert,full-read,,2493,0.266568,0.007421,38567035,53649408,7,,,
craig_riom_lod2_2.gml,cityparquet-hilbert,count,,2493,0.001004,0.000044,107866,9441280,7,,,
craig_riom_lod2_2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.003960,0.000273,351462,9453568,7,bbox-1pct,,
craig_riom_lod2_2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.004301,0.000082,351462,9449472,7,bbox-5pct,,
craig_riom_lod2_2.gml,cityparquet-hilbert,bbox-query,0.032491,81,0.004108,0.000143,351462,9457664,7,bbox-25pct,,
craig_riom_lod2_2.gml,cityparquet-hilbert,attr-filter,1.000000,2493,0.001306,0.000025,107907,9441280,7,object_type=Building,,
craig_riom_lod2_2.gml,cityparquet-hilbert,attr-stats,1.000000,2493,0.001258,0.000029,107879,9441280,7,attr=OVERHANG,,
craig_riom_lod2_2.gml,cityparquet-hilbert,id-lookup,0.000401,1,0.037745,0.000262,9711526,20062208,7,id=63103000ZB1196_000,,
craig_riom_lod2_2.gml,cityparquet-hilbert,project,1.000000,2493,0.001190,0.000085,107876,9441280,7,attr=OVERHANG,,
