dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
estonia_canopies_lod1.gml,cityparquet,full-read,,46315,1.165244,0.002609,15015160,32215040,7,,,
estonia_canopies_lod1.gml,cityparquet,count,,46315,0.000960,0.000084,95496,11546624,7,,,
estonia_canopies_lod1.gml,cityparquet,bbox-query,0.000000,0,0.041517,0.001064,2594042,11563008,7,bbox-1pct,,
estonia_canopies_lod1.gml,cityparquet,bbox-query,0.000000,0,0.039359,0.000577,2594042,11550720,7,bbox-5pct,,
estonia_canopies_lod1.gml,cityparquet,bbox-query,0.001231,57,0.041008,0.000313,2596447,11550720,7,bbox-25pct,,
estonia_canopies_lod1.gml,cityparquet,attr-filter,1.000000,46315,0.002579,0.000034,107775,11546624,7,object_type=GenericOccupiedSpace,,
estonia_canopies_lod1.gml,cityparquet,id-lookup,0.000022,1,0.033265,0.000879,7516474,17600512,7,id=etak_9033540_katusealused,,
estonia_canopies_lod1.gml,cityparquet-hilbert,full-read,,46315,1.185432,0.005942,15624072,33112064,7,,,
estonia_canopies_lod1.gml,cityparquet-hilbert,count,,46315,0.000917,0.000024,95512,11546624,7,,,
estonia_canopies_lod1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.040371,0.000577,2513850,11550720,7,bbox-1pct,,
estonia_canopies_lod1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.040348,0.000592,2513850,11554816,7,bbox-5pct,,
estonia_canopies_lod1.gml,cityparquet-hilbert,bbox-query,0.001231,57,0.039745,0.001193,2516805,11546624,7,bbox-25pct,,
estonia_canopies_lod1.gml,cityparquet-hilbert,attr-filter,1.000000,46315,0.002603,0.000046,107791,11546624,7,object_type=GenericOccupiedSpace,,
estonia_canopies_lod1.gml,cityparquet-hilbert,id-lookup,0.000022,1,0.032424,0.000367,7394527,17375232,7,id=etak_9033540_katusealused,,
