dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,full-read,,1057,0.171634,0.004348,48359033,61575168,7,,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,count,,1057,0.000792,0.000012,79108,9441280,7,,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,bbox-query,0.000000,0,0.002788,0.000095,215309,9453568,7,bbox-1pct,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,bbox-query,0.000000,0,0.002717,0.000065,215309,9453568,7,bbox-5pct,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,bbox-query,0.122990,130,0.002312,0.000053,215309,9461760,7,bbox-25pct,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,attr-filter,1.000000,1057,0.001177,0.000072,79435,9441280,7,object_type=Building,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,attr-stats,1.000000,1057,0.001165,0.000052,85650,9441280,7,attr=Volume,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,id-lookup,0.000946,1,0.050052,0.001432,20589134,30441472,7,id=1_00174,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet,project,1.000000,1057,0.001215,0.000060,85647,9441280,7,attr=Volume,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,full-read,,1057,0.171011,0.002039,49314735,62410752,7,,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,count,,1057,0.000836,0.000042,79124,9441280,7,,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002659,0.000092,212890,9461760,7,bbox-1pct,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002676,0.000071,212890,9449472,7,bbox-5pct,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,bbox-query,0.122990,130,0.002659,0.000048,212890,9449472,7,bbox-25pct,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,attr-filter,1.000000,1057,0.001120,0.000046,79451,9441280,7,object_type=Building,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,attr-stats,1.000000,1057,0.001175,0.000030,85689,9441280,7,attr=Volume,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,id-lookup,0.000946,1,0.052063,0.001077,20616147,30420992,7,id=1_00174,,
luxembourg_diekirch_bastendorf_lod2.gml,cityparquet-hilbert,project,1.000000,1057,0.001171,0.000014,85686,9441280,7,attr=Volume,,
