dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
nyc_da13_buildings.city.json,cityparquet,full-read,,23777,2.920073,0.167256,67290704,92672000,7,,,
nyc_da13_buildings.city.json,cityparquet,count,,23777,0.000854,0.000044,79233,10498048,7,,,
nyc_da13_buildings.city.json,cityparquet,bbox-query,0.000000,0,0.024981,0.000294,2356230,11550720,7,bbox-1pct,,
nyc_da13_buildings.city.json,cityparquet,bbox-query,0.000715,17,0.024774,0.000794,2356230,11554816,7,bbox-5pct,,
nyc_da13_buildings.city.json,cityparquet,bbox-query,0.108929,2590,0.025392,0.000403,2479885,11546624,7,bbox-25pct,,
nyc_da13_buildings.city.json,cityparquet,attr-filter,1.000000,23777,0.001917,0.000038,86092,10498048,7,object_type=Building,,
nyc_da13_buildings.city.json,cityparquet,id-lookup,0.000042,1,0.053877,0.000414,13684251,26652672,7,id=gml_TQCZ3A2RBWAY63A68MH088L8IKNIU3DFX2T3,,
nyc_da13_buildings.city.json,cityparquet-hilbert,full-read,,23777,2.598643,0.043368,93561819,117002240,7,,,
nyc_da13_buildings.city.json,cityparquet-hilbert,count,,23777,0.000862,0.000020,79249,10498048,7,,,
nyc_da13_buildings.city.json,cityparquet-hilbert,bbox-query,0.000000,0,0.025184,0.001013,2355218,11546624,7,bbox-1pct,,
nyc_da13_buildings.city.json,cityparquet-hilbert,bbox-query,0.000715,17,0.024912,0.000234,2355218,11550720,7,bbox-5pct,,
nyc_da13_buildings.city.json,cityparquet-hilbert,bbox-query,0.108929,2590,0.024682,0.000631,2494842,11542528,7,bbox-25pct,,
nyc_da13_buildings.city.json,cityparquet-hilbert,attr-filter,1.000000,23777,0.001847,0.000024,86108,10498048,7,object_type=Building,,
nyc_da13_buildings.city.json,cityparquet-hilbert,id-lookup,0.000042,1,0.061797,0.001552,18099613,30625792,7,id=gml_TQCZ3A2RBWAY63A68MH088L8IKNIU3DFX2T3,,
