dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
plateau_edogawa_htd.gml,cityparquet,full-read,,7021,0.323503,0.004871,30032728,54153216,7,,,
plateau_edogawa_htd.gml,cityparquet,count,,7021,0.000939,0.000078,87993,9441280,7,,,
plateau_edogawa_htd.gml,cityparquet,bbox-query,0.000000,0,0.008026,0.000165,730288,9453568,7,bbox-1pct,,
plateau_edogawa_htd.gml,cityparquet,bbox-query,0.001852,13,0.007950,0.000289,730288,9457664,7,bbox-5pct,,
plateau_edogawa_htd.gml,cityparquet,bbox-query,0.062099,436,0.007999,0.000040,730288,9453568,7,bbox-25pct,,
plateau_edogawa_htd.gml,cityparquet,attr-filter,1.000000,7021,0.001369,0.000016,88037,9441280,7,object_type=WaterBody,,
plateau_edogawa_htd.gml,cityparquet,id-lookup,0.000142,1,0.033856,0.000473,12950000,23101440,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3,,
plateau_edogawa_htd.gml,cityparquet-hilbert,full-read,,7021,0.299327,0.002649,26006349,45297664,7,,,
plateau_edogawa_htd.gml,cityparquet-hilbert,count,,7021,0.000843,0.000017,88009,9441280,7,,,
plateau_edogawa_htd.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.008060,0.000041,729872,9449472,7,bbox-1pct,,
plateau_edogawa_htd.gml,cityparquet-hilbert,bbox-query,0.001852,13,0.006893,0.000235,729872,9453568,7,bbox-5pct,,
plateau_edogawa_htd.gml,cityparquet-hilbert,bbox-query,0.062099,436,0.008103,0.000113,729872,9457664,7,bbox-25pct,,
plateau_edogawa_htd.gml,cityparquet-hilbert,attr-filter,1.000000,7021,0.001379,0.000039,88053,9441280,7,object_type=WaterBody,,
plateau_edogawa_htd.gml,cityparquet-hilbert,id-lookup,0.000142,1,0.034689,0.000506,13620471,24129536,7,id=htd_8089972c-b955-45aa-bbd6-4632a5cb7cc3,,
