dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_clermont_lod2_textured_1.gml,citygml,full-read,,9287,3.739798,0.019719,3076058,10489856,7,,,
craig_clermont_lod2_textured_1.gml,citygml,count,,9287,3.776496,0.072103,3076054,10493952,7,,,
craig_clermont_lod2_textured_1.gml,citygml,bbox-query,0.000000,0,4.022109,0.617311,3076059,10489856,7,bbox-1pct,,
craig_clermont_lod2_textured_1.gml,citygml,bbox-query,0.000000,0,3.724620,0.139873,3076059,10489856,7,bbox-5pct,,
craig_clermont_lod2_textured_1.gml,citygml,bbox-query,0.062022,576,3.749764,0.052736,3076059,10493952,7,bbox-25pct,,
craig_clermont_lod2_textured_1.gml,citygml,attr-filter,1.000000,9287,3.744708,0.063521,3076087,10489856,7,object_type=Building,,
craig_clermont_lod2_textured_1.gml,citygml,attr-stats,1.000000,9287,3.753896,0.056858,3076067,10489856,7,attr=OVERHANG,,
craig_clermont_lod2_textured_1.gml,citygml,id-lookup,0.000108,1,3.749371,0.029896,3076077,10489856,7,id=63113000EV0298_0101,,
craig_clermont_lod2_textured_1.gml,citygml,project,1.000000,9287,3.731384,0.020588,3076064,10489856,7,attr=OVERHANG,,
craig_clermont_lod2_textured_1.gml,cityjson,full-read,,9287,1.810136,0.044638,620780633,686297088,7,,,
craig_clermont_lod2_textured_1.gml,cityjson,count,,9287,1.742972,0.018316,620780618,685764608,7,,,
craig_clermont_lod2_textured_1.gml,cityjson,bbox-query,0.000000,0,1.865531,0.023592,620780620,686329856,7,bbox-1pct,,
craig_clermont_lod2_textured_1.gml,cityjson,bbox-query,0.000000,0,1.825800,0.021339,620780636,686333952,7,bbox-5pct,,
craig_clermont_lod2_textured_1.gml,cityjson,bbox-query,0.062022,576,1.856297,0.065714,620780644,685797376,7,bbox-25pct,,
craig_clermont_lod2_textured_1.gml,cityjson,attr-filter,1.000000,9287,1.780964,0.021282,620780660,686292992,7,object_type=Building,,
craig_clermont_lod2_textured_1.gml,cityjson,attr-stats,1.000000,9287,1.721993,0.025145,620780639,686288896,7,attr=OVERHANG,,
craig_clermont_lod2_textured_1.gml,cityjson,id-lookup,0.000108,1,1.754364,0.029271,620780653,685834240,7,id=63113000EV0298_0101,,
craig_clermont_lod2_textured_1.gml,cityjson,project,1.000000,9287,1.775552,0.039716,620780639,686288896,7,attr=OVERHANG,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,full-read,,9287,1.327098,0.005629,100672320,72105984,7,,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,count,,9287,1.312845,0.005039,100672316,72105984,7,,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,bbox-query,0.000000,0,1.314778,0.012838,100672321,72118272,7,bbox-1pct,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,bbox-query,0.000000,0,1.317627,0.005124,100672321,72110080,7,bbox-5pct,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,bbox-query,0.062022,576,1.325852,0.012857,100672321,72110080,7,bbox-25pct,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,attr-filter,1.000000,9287,1.320738,0.005088,100672349,72114176,7,object_type=Building,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,attr-stats,1.000000,9287,1.307860,0.013650,100672329,72101888,7,attr=OVERHANG,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,id-lookup,0.000108,1,0.326760,0.005142,100672339,72101888,7,id=63113000EV0298_0101,,
craig_clermont_lod2_textured_1.gml,cityjsonseq,project,1.000000,9287,1.316500,0.006125,100672326,72105984,7,attr=OVERHANG,,
craig_clermont_lod2_textured_1.gml,flatcitybuf,full-read,,9287,0.684905,0.002420,1560891,10489856,7,,,
craig_clermont_lod2_textured_1.gml,flatcitybuf,count,,9287,0.000079,0.000007,9974,10489856,7,,,
