dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_clermont_lod3_1.gml,citygml,full-read,,1115,1.380099,0.002895,1543215,10485760,7,,,
craig_clermont_lod3_1.gml,citygml,count,,1115,1.363396,0.012024,1543211,10485760,7,,,
craig_clermont_lod3_1.gml,citygml,bbox-query,0.000000,0,1.378437,0.011706,1543216,10485760,7,bbox-1pct,,
craig_clermont_lod3_1.gml,citygml,bbox-query,0.000000,0,1.366103,0.008968,1543216,10485760,7,bbox-5pct,,
craig_clermont_lod3_1.gml,citygml,bbox-query,0.007175,8,1.367487,0.006695,1543216,10485760,7,bbox-25pct,,
craig_clermont_lod3_1.gml,citygml,attr-filter,0.892010,9210,1.367686,0.019681,1543268,10485760,7,object_type=BuildingInstallation,,
craig_clermont_lod3_1.gml,citygml,attr-stats,0.107990,1115,1.346670,0.026203,1543224,10485760,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,citygml,id-lookup,0.000097,1,1.368339,0.015536,1543233,10485760,7,id=63113000BH0146_000,,
craig_clermont_lod3_1.gml,citygml,project,0.107990,1115,1.376236,0.019541,1543221,10485760,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityjson,full-read,,10325,1.061901,0.004544,352434941,388702208,7,,,
craig_clermont_lod3_1.gml,cityjson,count,,10325,0.977928,0.010544,352434937,388694016,7,,,
craig_clermont_lod3_1.gml,cityjson,bbox-query,0.000000,0,1.048794,0.015816,352434942,388698112,7,bbox-1pct,,
craig_clermont_lod3_1.gml,cityjson,bbox-query,0.000000,0,1.052350,0.014730,352434942,388702208,7,bbox-5pct,,
craig_clermont_lod3_1.gml,cityjson,bbox-query,0.008620,89,1.063710,0.004822,352434942,389750784,7,bbox-25pct,,
craig_clermont_lod3_1.gml,cityjson,attr-filter,0.892010,9210,1.023647,0.047307,352434994,388718592,7,object_type=BuildingInstallation,,
craig_clermont_lod3_1.gml,cityjson,attr-stats,0.107990,1115,1.011781,0.024074,352434950,388706304,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityjson,id-lookup,0.000097,1,1.024028,0.026786,352434959,388714496,7,id=63113000BH0146_000,,
craig_clermont_lod3_1.gml,cityjson,project,0.107990,1115,0.987697,0.015883,352434947,388714496,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityjsonseq,full-read,,1115,0.730936,0.003802,50340663,54607872,7,,,
craig_clermont_lod3_1.gml,cityjsonseq,count,,1115,0.723485,0.001956,50340659,54595584,7,,,
craig_clermont_lod3_1.gml,cityjsonseq,bbox-query,0.000000,0,0.728184,0.001929,50340664,54607872,7,bbox-1pct,,
craig_clermont_lod3_1.gml,cityjsonseq,bbox-query,0.000000,0,0.729001,0.003849,50340664,54599680,7,bbox-5pct,,
craig_clermont_lod3_1.gml,cityjsonseq,bbox-query,0.007175,8,0.725477,0.003368,50340664,54607872,7,bbox-25pct,,
craig_clermont_lod3_1.gml,cityjsonseq,attr-filter,0.892010,9210,0.733728,0.001663,50340716,54599680,7,object_type=BuildingInstallation,,
craig_clermont_lod3_1.gml,cityjsonseq,attr-stats,0.107990,1115,0.724017,0.002938,50340672,54599680,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityjsonseq,id-lookup,0.000097,1,0.188875,0.001166,50340681,54595584,7,id=63113000BH0146_000,,
craig_clermont_lod3_1.gml,cityjsonseq,project,0.107990,1115,0.727956,0.001191,50340669,54603776,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,flatcitybuf,full-read,,1115,0.359235,0.000532,7844862,13344768,7,,,
craig_clermont_lod3_1.gml,flatcitybuf,count,,1115,0.000077,0.000009,9997,10485760,7,,,
craig_clermont_lod3_1.gml,flatcitybuf,bbox-query,0.000000,0,0.000117,0.000005,10330,10485760,7,bbox-1pct,,
craig_clermont_lod3_1.gml,flatcitybuf,bbox-query,0.000000,0,0.000107,0.000013,10570,10485760,7,bbox-5pct,,
craig_clermont_lod3_1.gml,flatcitybuf,bbox-query,0.007175,8,0.000123,0.000011,10762,10485760,7,bbox-25pct,,
craig_clermont_lod3_1.gml,flatcitybuf,attr-filter,0.892010,9210,0.359242,0.002581,7844935,13234176,7,object_type=BuildingInstallation;no-attr-index,,
craig_clermont_lod3_1.gml,flatcitybuf,attr-stats,0.107990,1115,0.362883,0.002143,7844871,13152256,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,flatcitybuf,id-lookup,0.000097,1,0.207218,0.000409,5443262,10498048,7,id=63113000BH0146_000;no-attr-index,,
craig_clermont_lod3_1.gml,flatcitybuf,project,0.107990,1115,0.359596,0.003101,7844868,13631488,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,full-read,,10325,0.572755,0.008882,30431639,49573888,7,,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,count,,10325,0.000949,0.000013,109872,10485760,7,,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.013660,0.000224,1278064,10502144,7,bbox-1pct,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.013396,0.000348,1278064,10498048,7,bbox-5pct,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,bbox-query,0.008620,89,0.013431,0.000116,1278064,10498048,7,bbox-25pct,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,attr-filter,0.892010,9210,0.001758,0.000104,143932,10485760,7,object_type=BuildingInstallation,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,attr-stats,0.107990,1115,0.001174,0.000038,109885,10485760,7,attr=OVERHANG,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,id-lookup,0.000097,1,0.051589,0.000162,11474803,23838720,7,id=63113000BH0146_000,,
craig_clermont_lod3_1.gml,cityparquet-hilbert,project,0.107990,1115,0.001268,0.000089,109882,10485760,7,attr=OVERHANG,,
