dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
craig_valence_lod3_1.gml,citygml,full-read,,283,0.166144,0.001578,476513,9441280,7,,,
craig_valence_lod3_1.gml,citygml,count,,283,0.167390,0.001497,476509,9441280,7,,,
craig_valence_lod3_1.gml,citygml,bbox-query,0.000000,0,0.166913,0.000916,476514,9441280,7,bbox-1pct,,
craig_valence_lod3_1.gml,citygml,bbox-query,0.000000,0,0.168231,0.001878,476514,9441280,7,bbox-5pct,,
craig_valence_lod3_1.gml,citygml,bbox-query,0.000000,0,0.167782,0.002259,476514,9441280,7,bbox-25pct,,
craig_valence_lod3_1.gml,citygml,attr-filter,0.686253,619,0.166222,0.001654,476566,9441280,7,object_type=BuildingInstallation,,
craig_valence_lod3_1.gml,citygml,attr-stats,0.313747,283,0.165413,0.000805,476522,9441280,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,citygml,id-lookup,0.001109,1,0.167738,0.002382,476531,9441280,7,id=26037000ZS0208_000,,
craig_valence_lod3_1.gml,citygml,project,0.313747,283,0.168400,0.000420,476519,9441280,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityjson,full-read,,902,0.111730,0.004262,34197508,41947136,7,,,
craig_valence_lod3_1.gml,cityjson,count,,902,0.101775,0.005129,34197504,41955328,7,,,
craig_valence_lod3_1.gml,cityjson,bbox-query,0.000000,0,0.101908,0.002233,34197509,41955328,7,bbox-1pct,,
craig_valence_lod3_1.gml,cityjson,bbox-query,0.000000,0,0.103234,0.004861,34197509,41955328,7,bbox-5pct,,
craig_valence_lod3_1.gml,cityjson,bbox-query,0.000000,0,0.110571,0.004873,34197509,41947136,7,bbox-25pct,,
craig_valence_lod3_1.gml,cityjson,attr-filter,0.686253,619,0.099750,0.002769,34197561,41943040,7,object_type=BuildingInstallation,,
craig_valence_lod3_1.gml,cityjson,attr-stats,0.313747,283,0.098235,0.001699,34197517,41955328,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityjson,id-lookup,0.001109,1,0.099412,0.004879,34197526,41951232,7,id=26037000ZS0208_000,,
craig_valence_lod3_1.gml,cityjson,project,0.313747,283,0.097303,0.001280,34197514,41955328,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityjsonseq,full-read,,283,0.077904,0.000488,6300470,11280384,7,,,
craig_valence_lod3_1.gml,cityjsonseq,count,,283,0.076468,0.000577,6300466,11288576,7,,,
craig_valence_lod3_1.gml,cityjsonseq,bbox-query,0.000000,0,0.077023,0.000542,6300471,11296768,7,bbox-1pct,,
craig_valence_lod3_1.gml,cityjsonseq,bbox-query,0.000000,0,0.076609,0.000345,6300471,11296768,7,bbox-5pct,,
craig_valence_lod3_1.gml,cityjsonseq,bbox-query,0.000000,0,0.075526,0.000659,6300471,11296768,7,bbox-25pct,,
craig_valence_lod3_1.gml,cityjsonseq,attr-filter,0.686253,619,0.077361,0.001081,6300523,11292672,7,object_type=BuildingInstallation,,
craig_valence_lod3_1.gml,cityjsonseq,attr-stats,0.313747,283,0.077540,0.000640,6300479,11280384,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityjsonseq,id-lookup,0.001109,1,0.020518,0.000196,6300488,11288576,7,id=26037000ZS0208_000,,
craig_valence_lod3_1.gml,cityjsonseq,project,0.313747,283,0.076556,0.000896,6300476,11292672,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,flatcitybuf,full-read,,283,0.038875,0.000418,1976977,9441280,7,,,
craig_valence_lod3_1.gml,flatcitybuf,count,,283,0.000069,0.000005,9996,9441280,7,,,
craig_valence_lod3_1.gml,flatcitybuf,bbox-query,0.000000,0,0.000128,0.000002,10769,9441280,7,bbox-1pct,,
craig_valence_lod3_1.gml,flatcitybuf,bbox-query,0.000000,0,0.000126,0.000012,10769,9441280,7,bbox-5pct,,
craig_valence_lod3_1.gml,flatcitybuf,bbox-query,0.000000,0,0.000127,0.000010,10769,9441280,7,bbox-25pct,,
craig_valence_lod3_1.gml,flatcitybuf,attr-filter,0.686253,619,0.041227,0.000684,1977050,9441280,7,object_type=BuildingInstallation;no-attr-index,,
craig_valence_lod3_1.gml,flatcitybuf,attr-stats,0.313747,283,0.040605,0.000977,1976986,9441280,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,flatcitybuf,id-lookup,0.001109,1,0.028671,0.000226,726605,9441280,7,id=26037000ZS0208_000;no-attr-index,,
craig_valence_lod3_1.gml,flatcitybuf,project,0.313747,283,0.040676,0.000314,1976983,9441280,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityparquet-hilbert,full-read,,902,0.087612,0.001031,22403733,35663872,7,,,
craig_valence_lod3_1.gml,cityparquet-hilbert,count,,902,0.000972,0.000043,109868,9441280,7,,,
craig_valence_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002308,0.000118,262609,9453568,7,bbox-1pct,,
craig_valence_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002625,0.000258,262609,9457664,7,bbox-5pct,,
craig_valence_lod3_1.gml,cityparquet-hilbert,bbox-query,0.000000,0,0.002689,0.000049,262609,9453568,7,bbox-25pct,,
craig_valence_lod3_1.gml,cityparquet-hilbert,attr-filter,0.686253,619,0.001464,0.000017,109945,9441280,7,object_type=BuildingInstallation,,
craig_valence_lod3_1.gml,cityparquet-hilbert,attr-stats,0.313747,283,0.001232,0.000019,109881,9441280,7,attr=OVERHANG,,
craig_valence_lod3_1.gml,cityparquet-hilbert,id-lookup,0.001109,1,0.020452,0.000423,4640461,14430208,7,id=26037000ZS0208_000,,
craig_valence_lod3_1.gml,cityparquet-hilbert,project,0.313747,283,0.001218,0.000098,109878,9441280,7,attr=OVERHANG,,
