dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
estonia_anija_lod2.gml,citygml,full-read,,7264,0.677625,0.000924,99509,9437184,7,,,
estonia_anija_lod2.gml,citygml,count,,7264,0.682434,0.005797,99505,9437184,7,,,
estonia_anija_lod2.gml,citygml,bbox-query,0.000000,0,0.680668,0.003462,99510,9437184,7,bbox-1pct,,
estonia_anija_lod2.gml,citygml,bbox-query,0.000000,0,0.679427,0.002527,99510,9437184,7,bbox-5pct,,
estonia_anija_lod2.gml,citygml,bbox-query,0.000000,0,0.682930,0.003825,99510,9437184,7,bbox-25pct,,
estonia_anija_lod2.gml,citygml,attr-filter,1.000000,7264,0.679021,0.004121,99538,9437184,7,object_type=Building,,
estonia_anija_lod2.gml,citygml,attr-stats,1.000000,7264,0.683733,0.001370,99524,9437184,7,attr=measuredHeight,,
estonia_anija_lod2.gml,citygml,id-lookup,0.000138,1,0.683171,0.001002,99527,9437184,7,id=etak_530835_hooned,,
estonia_anija_lod2.gml,citygml,project,1.000000,7264,0.685442,0.004563,99521,9437184,7,attr=measuredHeight,,
estonia_anija_lod2.gml,cityjson,full-read,,7264,0.394091,0.006269,134487858,148475904,7,,,
estonia_anija_lod2.gml,cityjson,count,,7264,0.377064,0.008464,134487854,148475904,7,,,
estonia_anija_lod2.gml,cityjson,bbox-query,0.000000,0,0.395140,0.007976,134487876,148488192,7,bbox-1pct,,
estonia_anija_lod2.gml,cityjson,bbox-query,0.000000,0,0.387903,0.015473,134487843,148492288,7,bbox-5pct,,
estonia_anija_lod2.gml,cityjson,bbox-query,0.000000,0,0.424394,0.013906,134487867,148488192,7,bbox-25pct,,
estonia_anija_lod2.gml,cityjson,attr-filter,1.000000,7264,0.369314,0.018238,134487882,148488192,7,object_type=Building,,
estonia_anija_lod2.gml,cityjson,attr-stats,1.000000,7264,0.363881,0.011864,134487869,148492288,7,attr=measuredHeight,,
estonia_anija_lod2.gml,cityjson,id-lookup,0.000138,1,0.359284,0.013813,134487921,148488192,7,id=etak_530835_hooned,,
estonia_anija_lod2.gml,cityjson,project,1.000000,7264,0.376888,0.020705,134487856,149536768,7,attr=measuredHeight,,
estonia_anija_lod2.gml,cityjsonseq,full-read,,7264,0.225188,0.001122,12591924,21159936,7,,,
estonia_anija_lod2.gml,cityjsonseq,count,,7264,0.220889,0.002279,12591920,21151744,7,,,
estonia_anija_lod2.gml,cityjsonseq,bbox-query,0.000000,0,0.220647,0.002829,12591925,21151744,7,bbox-1pct,,
estonia_anija_lod2.gml,cityjsonseq,bbox-query,0.000000,0,0.221448,0.000586,12591925,21151744,7,bbox-5pct,,
