dataset,format,scenario,selectivity,result_count,time_s,time_mad_s,peak_heap_bytes,peak_rss_bytes,repeat,notes,bytes_read,http_requests
3dbag_n1000.city.jsonl,cityparquet,full-read,,1000,0.115971,0.002688,26517382,40910848,7,,,
3dbag_n1000.city.jsonl,cityparquet,count,,1000,0.001516,0.000020,210439,9437184,7,,,
3dbag_n1000.city.jsonl,cityparquet,bbox-query,0.000000,0,0.003390,0.000073,300931,9453568,7,bbox-1pct,,
3dbag_n1000.city.jsonl,cityparquet,bbox-query,0.016000,16,0.003326,0.000028,300931,9461760,7,bbox-5pct,,
3dbag_n1000.city.jsonl,cityparquet,bbox-query,0.024000,24,0.003336,0.000050,300931,9478144,7,bbox-25pct,,
3dbag_n1000.city.jsonl,cityparquet,attr-filter,0.500000,500,0.002087,0.000031,210480,9437184,7,object_type=Building,,
3dbag_n1000.city.jsonl,cityparquet,attr-stats,0.304000,304,0.001794,0.000016,210462,9437184,7,attr=b3_bag_bag_overlap,,
3dbag_n1000.city.jsonl,cityparquet,id-lookup,0.001000,1,0.027408,0.001074,5106146,17858560,7,id=NL.IMBAG.Pand.0282100000003399,,
3dbag_n1000.city.jsonl,cityparquet,project,0.304000,304,0.001840,0.000028,210459,9437184,7,attr=b3_bag_bag_overlap,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,full-read,,1000,0.113690,0.002162,26531946,40906752,7,,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,count,,1000,0.001592,0.000059,210455,9437184,7,,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,bbox-query,0.000000,0,0.003336,0.000028,300782,9469952,7,bbox-1pct,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,bbox-query,0.016000,16,0.003260,0.000036,300782,9482240,7,bbox-5pct,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,bbox-query,0.024000,24,0.003199,0.000151,300782,9465856,7,bbox-25pct,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,attr-filter,0.500000,500,0.002051,0.000075,210496,9437184,7,object_type=Building,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,attr-stats,0.304000,304,0.001853,0.000019,210478,9437184,7,attr=b3_bag_bag_overlap,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,id-lookup,0.001000,1,0.028464,0.000387,5021894,17883136,7,id=NL.IMBAG.Pand.0282100000003399,,
3dbag_n1000.city.jsonl,cityparquet-hilbert,project,0.304000,304,0.001854,0.000094,210475,9437184,7,attr=b3_bag_bag_overlap,,
